"Symbol","Th1","Th2","Th1/2","Th0","s_th1_th2","s_th1_thm","s_th2_thm","s_th1_th0","s_th2_th0","s_th0_thm","switch_thm","switch_th0"
"Rab11fip2.1",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"D12Ertd647e",NA,"3",NA,"1",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Fchsd2",NA,"3",NA,"1",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Ifi35",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Slfn1",NA,"3","1","3",NA,NA,TRUE,NA,FALSE,TRUE,TRUE,TRUE
"Gbp6.1",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Gbp6",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Znfx1",NA,"3","1",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Sgcb",NA,NA,"1","3",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
"1110007L15Rik.1",NA,NA,"2","1",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
"Hnrpm.1",NA,NA,"2","3",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
