"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"Hormad2",0.360823143636949,0.659739309536777,0.644647796576823,5
"Mod1",0.572209833920349,0.789958193110393,0.77879034997173,5
"Man1a",-0.103670647505313,0.477927032510603,0.447919742497721,5
"Mier1.3",0.237542577237188,0.737767306526846,0.725691714927639,5
"Sp6.2",-0.229346960165701,0.321331624454715,0.306910966816389,5
"Centg1.1",0.446610005590919,0.809947505429059,0.800515347382367,5
"Sco1",0.117308102853396,0.653357425523278,0.644884186773213,5
"Depdc5",-0.0139293896923061,0.404603239289601,0.396537005085783,5
"Cnksr1",-0.0243341764141808,0.58223008694229,0.571353492072939,5
"Casp1",0.213399601021294,0.741019971139188,0.741767364865199,5
"Trip4",-0.350516357759567,-0.0906233987815048,-0.0909442311277279,5
"Dysf",0.591192803915252,0.86505527339133,0.861888318906235,5
"Onecut3.2",-0.352585779343141,0.171045181106001,0.164697342104164,5
"Epha2",-0.414539835083322,0.436512685000946,0.42992933036587,5
"Id1",0.0584380367537088,0.659016093490848,0.654944856399228,5
"Dnajc10",-0.0854840344724108,0.520468064187048,0.53087409982813,5
"4930535E21Rik",0.403853373150272,0.46068053817793,0.46181245199719,5
"Sema3f.2",0.33825681964415,0.698953130714135,0.706286463636288,5
"Sftpb.1",-0.275314003649985,-0.0681940210174759,-0.065561274295502,5
"Zfp667",-0.343060208009484,0.458769270663086,0.467979329559155,5
"Ipmk",0.544896388019599,0.830581209930791,0.832233127097828,5
"4930451C15Rik",0.473253162074503,0.541901710429366,0.542470170875115,5
"Pld2",0.249469870484534,0.554593022398456,0.568726940533768,5
"Fxr2.1",0.353589408397626,0.448320205048591,0.452730677379466,5
"Lsm6.2",0.317854321331488,0.742519734916348,0.761370457203714,5
"Kcnc3",-0.621551408698183,0.138914294966496,0.171274514732279,5
"Gpr114",0.355218302211909,0.801252740489154,0.816833004340951,5
"Cobll1.1",0.244272537017323,0.558616544740645,0.568177262431387,5
"Gm414.1",-0.0533617575989871,0.500961094584052,0.515516149869272,5
"Col5a1",0.359901251208143,0.626766075228908,0.789788616402729,5
"Ifng.1",-0.228916694089382,0.367991205376945,0.730188450728832,5
"Dnajb13",0.299353130604826,0.606927908965359,0.80813623903782,5
"Brca2",0.544432715330669,0.742375413648796,0.86965849858455,5
"Elovl4",0.306944594912729,0.480807710468755,0.590984959525697,5
"Mboat5.1",0.413944548059532,0.561751179735817,0.655582784130337,5
"Ttc8.1",0.474795141538716,0.699007664773483,0.822465579323189,5
