"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"Zfp119.1",0.599621056839999,0.490110744454307,0.810308211635944,2
"Gpx3",0.641221481586478,0.547249313236819,0.887666936864136,2
"Camk2n1",0.627232343873499,0.529200287858079,0.877158860968842,2
"Aup1",0.634761854972746,0.525484859365958,0.894950775852881,2
"4932438H23Rik.1",0.71046476056589,0.503052962043038,0.845857850896465,2
"Llgl1.1",0.657124969745712,0.546979420303236,0.836180647953753,2
"Prl2c2.1",0.646499460191316,0.518234717776608,0.824652560101128,2
"Artn.2",0.713079106389066,0.363896209442817,0.851395679888795,2
"Tmem38b.1",0.714810346263496,0.36752380062884,0.834329069966645,2
"Rnf31",0.72942087832347,0.328666057147795,0.819303196011042,2
"Elk3.1",0.71242374036579,0.34966722953529,0.800061286144491,2
"Gypc",0.665463133784679,0.451905061655848,0.900558169566378,2
"Prlr.1",0.617539200781055,0.452599456040776,0.902423144421505,2
"Nol3.3",0.638625591795663,0.457044003889717,0.927146824437767,2
"Id3",0.583712267498429,0.439451722319573,0.886207403331373,2
"Chst14",0.623367249288198,0.419582927186667,0.862553810793054,2
"Tom1",0.628966754378556,0.44952268786089,0.845525190929567,2
"Tmem38b",0.601433446667027,0.355321982788245,0.872944115422512,2
"Bmp7",0.651869722001168,0.404232247321199,0.927973454464285,2
"Mboat2.1",0.677924783221926,0.370954452667153,0.886536517132976,2
"Ms4a4b",0.46801484771899,0.523319102742634,0.924621764907151,2
"Adc.1",0.472643270840955,0.510471660066562,0.926407285108214,2
"Dbndd2.2",0.496047833704641,0.500381275288809,0.98100288736286,2
"Hif1a",0.520143100556518,0.526030229695668,0.964402626732546,2
"2410129H14Rik",0.512780813439392,0.530205587061929,0.944367594440897,2
"BC057079",0.518796459924332,0.449345101115868,0.982450243375377,2
"Ptger2.1",0.486250385329347,0.430050251737022,0.952619872042423,2
"Mdm1.2",0.461125910329041,0.447865700742162,0.943358549004911,2
"Wasl",0.474238313343663,0.456721742060382,0.95682870650604,2
"1200016B10Rik.1",0.565504123420974,0.52740425278262,0.880320828072698,2
"Suhw2",0.574664778794971,0.488046353372497,0.866644312951753,2
"Esrrb",0.572714272409589,0.48682232337954,0.872096164604181,2
"Gnb4.1",0.551225159235848,0.500620247174368,0.860272461846633,2
"Crocc",0.560821311944814,0.502253379772755,0.873420053598014,2
"Irak2.1",0.510656540903329,0.492246764267205,0.862033120615917,2
"Tarbp2.1",0.493825078760746,0.522956944805233,0.877501200193501,2
"Dock9.2",0.545456054018443,0.546292974254958,0.838420690629289,2
"Irf9.1",0.523521139777962,0.496499738937642,0.808382480606572,2
"Evi2a",0.542632938950427,0.445823855449391,0.850636644368922,2
"Micall2.2",0.494922901124143,0.444429457040455,0.861112253465964,2
"Gstm5",0.523332621236357,0.454514224419407,0.893873285138267,2
"Lrrc16b.1",0.540136218721507,0.447230339630352,0.919733937239209,2
"6030446N20Rik.1",0.553482526225729,0.460926415294284,0.945784537728941,2
"Sgcb",0.570670882839272,0.461597132304951,0.906396965196809,2
"Ccl9",0.586920600474068,0.481791329052559,0.919198678526324,2
"Atp2b4.2",0.437552893556026,0.390409498855813,0.845583997123842,2
"Tmem60",0.451881814836667,0.39653376123371,0.842236311614442,2
"Zfp316",0.42802386801731,0.464316119078239,0.825894026723205,2
"Dleu7",0.431989944539699,0.442113441639581,0.864022038975122,2
"Centa1",0.421822576116927,0.465102802288338,0.877168149863628,2
"Degs1",0.442150593758215,0.387963828758618,0.94931108168998,2
"Col18a1.2",0.427082118590667,0.391876469577354,0.92009097876254,2
"Chd9.1",0.453116361007088,0.396501233858888,0.925431534566484,2
