"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Cpb2.2",0.431976444438793,-0.481001122468796,-0.41013557122018,8
"Dhx35",0.474855351157431,-0.104090554107821,-0.0827263438193466,8
"8430415E04Rik.1",0.583363562738856,-0.278192523294237,-0.230563190223566,8
"Gm854",0.315174106918536,0.135071629614645,0.144077111542864,8
"Zfp687",0.353397230532203,0.0687309065161873,0.0680787955436866,8
"2310042E22Rik",0.569071761909605,0.218748954861706,0.21955179200171,8
"Slc47a2",0.23724517261892,-0.0408589284936738,-0.0395942996882756,8
"Abca8b.1",0.276661479923362,0.0508288619162593,0.0534073084401475,8
"Kcnk15.1",0.471790836208688,-0.17674315899333,-0.163058017859206,8
"D330045A20Rik.2",0.446190319766783,-0.00116992364632282,-0.0101425823648437,8
"Olfm1",0.113798819976479,-0.299552626179719,-0.321204453608671,8
"Adat1.2",0.465043057059527,0.12956753989322,0.113829950358427,8
"Metap2",0.478594538142646,0.400792583873025,0.220797812957348,5
"Uchl4",0.546622878119088,0.477726613625404,0.319248772520274,5
"Duxbl",0.511275445518132,0.49089402850643,0.445355467067677,5
"Cacnb3.1",0.481891339258248,0.431225362256678,0.320923560735908,5
"Adc",0.203586367134412,0.112839050337132,-0.0870647819991198,5
"Hoxb3.1",0.122266639180455,0.106546311440468,0.067779819769984,5
"Fxyd1",0.406279153848403,0.265144858405877,-0.114800210363123,5
"Depdc6.1",0.491218638077081,0.423577086397465,0.243444165955703,5
"Pparg.2",0.378365370333034,0.273750313262115,-0.00594737442731735,5
"4930519N13Rik",0.316227036850905,0.277142952956562,0.199979955380671,5
"Sacs",0.418333757984418,0.0431532602676732,-0.661005098922884,5
"Golga2",0.427926143047573,0.218719522565399,-0.122671615116163,5
"Npas3.2",0.37678570239055,0.260497633076633,0.0565981028005699,5
"Tppp",0.322676021405615,0.243057468303472,0.106172945255082,5
"Olfr492",0.485414421567663,0.278599930241212,-0.0742136888988948,5
"Aqp1.2",0.437333233275032,0.331537728119962,0.0120606611268508,5
"Gpr133.1",0.49071176407241,0.417647573321938,0.193756774618202,5
"Palld",0.575638724033011,0.470274436608466,0.136712396634643,5
"Saa2",0.196846497567357,0.110012302616477,-0.178501130093009,5
"Rps25",0.31107494365833,0.224906989031955,-0.0589940129156161,5
"Vsx2.1",0.326241321368316,0.256059365917273,-0.00626027489826548,5
"Msc",0.219353055268799,0.181403823929576,0.0392310863412492,5
"Basp1",0.483804909966176,0.341010275993285,-0.294085754408503,5
"Gm1587.1",0.562415228646182,0.500118651478294,0.249431762292912,5
"Krt18",0.258972774241822,0.178169064564135,-0.15660849053807,5
"Zfp709.3",0.458302262040579,0.398339666387765,0.14545312520713,5
"Prss2",-0.115048243343191,-0.148322084665289,-0.374338536539201,5
"BC055004",0.302443232439804,0.236957738586044,-0.20011764221475,5
"Lrrc61",0.523037995683365,0.509579662064828,0.429731194952799,5
"Pkib",0.276106479337942,0.226621404215409,-0.0352033865903866,5
"9530066K23Rik",0.512185644514694,0.414989321486832,-0.134905297279885,5
"Pik3ca",0.425846743503249,0.334822823438172,-0.168112776021669,5
"Papln",0.230740673016656,0.177486649674403,-0.337810081458664,5
"Ntn2l.1",0.302910169186693,0.292264285548822,0.20447520376458,5
"Avp",0.295922159010094,0.272188153966352,-0.0933421346205617,5
"Car9",0.590416507995745,0.582301264560158,0.483963514233599,5
"Zfp364",0.180468940506194,0.154010656256284,-0.155418051128273,5
"Klrb1b.2",0.188391327118813,0.277670074558443,-0.032326684143143,5
"Gadd45gip1.2",0.151884616598768,0.251544476504017,-0.102020901668442,5
"Mgll",0.435941076787409,0.683687046669349,-0.217689395016304,5
"1700003F12Rik",0.249915568388712,0.44997950801483,-0.277338545600038,5
"Nos2",0.276859567796005,0.387994406490634,-0.0158957792045012,5
"Lypd5",0.0620273847539372,0.163678322898623,-0.202451639431114,5
"Adar.1",0.472212253645247,0.656673036073794,-0.00891919262188504,5
"Fhit",0.567612679744857,0.7447466935851,0.105306813164598,5
"Endod1",0.391927197390935,0.618165659536186,-0.227235956517531,5
"Centa1.1",0.574780379055804,0.715749695524511,0.1973487737731,5
"Hscb.1",0.583489737361274,0.684854132176371,0.312431321625734,5
"Nnt.2",0.177575324574751,0.25160656801391,-0.0465692720156121,5
"Hydin",0.00966598190382024,0.0808466748913409,-0.207469081050323,5
"Cd93",0.244243715725625,0.357649078584317,-0.112302613618844,5
"Hrbl.1",0.269878473498704,0.418160561723459,-0.194034833264933,5
"Adar.4",0.294362799140309,0.492977756500832,-0.327630970447813,5
"Bgn",0.115794707215462,0.15911898953157,-0.0237532535438022,5
"Cluap1.1",0.129531547295062,0.245619993354324,-0.247682082984582,5
"Cdkn2a.2",0.597164646499011,0.729658744243437,0.117144456891716,5
"Ly6d.1",0.579697225182786,0.663434817813595,0.289272862497604,5
"Ttll11",0.29828597767571,0.482135479782739,-0.315873263366625,5
"Cttnbp2nl",0.498854318591911,0.613474619260618,0.114735529301154,5
"6030446N20Rik.1",0.553482526225729,0.657974979097621,0.37146782269854,5
