"gene","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster","new_cluster.x","new_cluster.y","category"
"Tarbp2.1",0.459416402634486,0.96329367080723,0.366215979609604,4,5,2,"Th1like"
"Gvin1",0.279966800408484,0.94083123105514,0.370966865777236,4,5,2,"Th1like"
"Sco1",0.213133884510226,0.950688161050658,0.379507263681466,4,5,2,"Th1like"
"Oas1b",0.478575741684463,0.944349685868134,0.379214509973642,4,5,2,"Th1like"
"2510009E07Rik",0.578827042309209,0.873053826700051,0.515427229454483,4,5,2,"Th1like"
"Itpr1",0.313445618035958,0.8805723373609,0.507404805562039,4,5,2,"Th1like"
"Cdc42se1.1",0.474083158843021,0.858334669503926,0.495165026366578,4,5,2,"Th1like"
"Tap1",0.263090256206304,0.875357610377601,0.496913571988456,4,5,2,"Th1like"
"Stra6",0.756450828231344,0.840655854315184,0.536353815357593,4,5,2,"Th1like"
"Fhl2",0.748048388570903,0.847245814108019,0.545036140218619,4,5,2,"Th1like"
"Mapre2",0.501345928967765,0.834526063131893,0.526460109110849,4,5,2,"Th1like"
"Phkg2",0.735918355212573,0.834515393413077,0.507598674788192,4,5,2,"Th1like"
"Id2.1",0.729697038784772,0.843258935009476,0.512787345912695,4,5,2,"Th1like"
"Dnalc1.1",0.703216912113474,0.931334332190942,0.53591101624384,4,5,2,"Th1like"
"Atp8b4",0.777176574604849,0.910909767491946,0.546332238289099,4,5,2,"Th1like"
"Odf2.1",0.70512013347489,0.908037912839608,0.54613470633046,4,5,2,"Th1like"
"Dmwd.1",0.8032260532027,0.872444563879168,0.571131620285272,4,5,2,"Th1like"
"Asb13.1",0.753227577709974,0.870208529777954,0.58607865871488,4,5,2,"Th1like"
"Zfp768",0.679303014434376,0.880418082556844,0.559994916645465,4,5,2,"Th1like"
"Dusp14",0.534563641257589,0.888998974462659,0.559889866463075,4,5,2,"Th1like"
"BC057079",0.737501152404964,0.891295721545207,0.582444990192442,4,5,2,"Th1like"
"Pla2g4f",0.829229925747558,0.891476314103851,0.571230468779811,4,5,2,"Th1like"
"Irf9.1",0.652094176624118,0.891765347546838,0.569953734303907,4,5,2,"Th1like"
"Smpdl3b",0.343948200307513,0.900975821557373,0.560734861480928,4,5,2,"Th1like"
"Bzrap1",0.665146449069472,0.908049822478745,0.5719625103173,4,5,2,"Th1like"
"Phf11",0.419922547942271,0.982968984918412,0.496758270063973,4,5,2,"Th1like"
"Cd80",0.473398163706837,0.971151726126607,0.488314316662239,4,5,2,"Th1like"
"Sp100",0.563677869132606,0.958914711874589,0.483266330502492,4,5,2,"Th1like"
"Armcx6.1",0.625945224363411,0.960363281586244,0.483959414203434,4,5,2,"Th1like"
"Tmem65",0.652032587509555,0.96953787576067,0.517246005319154,4,5,2,"Th1like"
"Il18r1",0.358371518623802,0.969624045092265,0.524069752446063,4,5,2,"Th1like"
"D14Ertd668e.1",0.53484733697018,0.98599980529901,0.535772582109948,4,5,2,"Th1like"
"Sp100.1",0.569165062644873,0.985535548443447,0.52242169955584,4,5,2,"Th1like"
"LOC625360",0.525981813971842,0.990107818502373,0.549079358353966,4,5,2,"Th1like"
"Ripk3",0.66167613107522,0.953571223059913,0.55732293790849,4,5,2,"Th1like"
"Gnpda1.1",0.5039699007279,0.975239382411487,0.554285563420749,4,5,2,"Th1like"
"Mov10",0.72068668686608,0.964698204608065,0.554926812429252,4,5,2,"Th1like"
"Spsb1",0.633534211967796,0.967061196614642,0.548520015430299,4,5,2,"Th1like"
"Phf11.2",0.372037443931229,0.986322685631858,0.414218944206234,4,5,2,"Th1like"
"4930539E08Rik",0.240341139763538,0.955346489622859,0.396878579382243,4,5,2,"Th1like"
"1110067D22Rik",0.516032399406976,0.963501028079041,0.401246847423454,4,5,2,"Th1like"
"Irf9",0.652962115148753,0.942141304702001,0.418262791711775,4,5,2,"Th1like"
"Mef2c.2",0.483151713303736,0.955678030066856,0.423616655321173,4,5,2,"Th1like"
"Id2",0.759327925338918,0.898924638510726,0.473165452038837,4,5,2,"Th1like"
"Casp6.1",0.715207110766404,0.920064439482492,0.484465988076505,4,5,2,"Th1like"
"Inpp5a.1",0.449400603296782,0.922996757448844,0.433419713756864,4,5,2,"Th1like"
"Mtap6.3",0.616343776363727,0.940420282467766,0.450265338706484,4,5,2,"Th1like"
"Ddx58",0.529699426626779,0.950551634227416,0.463904428485626,4,5,2,"Th1like"
"Nod1",0.292383814926781,0.951335093003527,0.469550386296332,4,5,2,"Th1like"
"Batf",0.762020361985962,0.766963598666871,0.443959993754548,4,5,2,"Th1like"
"Sco1.1",0.44199361381282,0.794449463369408,0.464069045895899,4,5,2,"Th1like"
"Armcx6",0.810324303164024,0.735056921170557,0.47794552489248,4,5,2,"Th1like"
"Gnpda1",0.527643882138252,0.791268312332352,0.500966523546521,4,5,2,"Th1like"
"Stat1",0.577069301964745,0.862597002984244,0.438176590869977,4,5,2,"Th1like"
"Id1",0.161894484381316,0.878342433249371,0.433749150533243,4,5,2,"Th1like"
"Asb2",0.712604694271814,0.87861280820093,0.423994199121169,4,5,2,"Th1like"
"Pon2",0.490402775092461,0.872620580287636,0.426925888379411,4,5,2,"Th1like"
"Pld4",0.219823343740168,0.858718780319226,0.47458826676656,4,5,2,"Th1like"
"Morc3",0.68185976370831,0.838346517910141,0.464286979242369,4,5,2,"Th1like"
"Casp6",0.674541425448366,0.8406912718903,0.462419485920499,4,5,2,"Th1like"
"Lrp11",0.809162848958147,0.830338779511017,0.390382762803363,4,5,2,"Th1like"
"Sypl.1",0.650783812306709,0.805705212071416,0.384282024010441,4,5,2,"Th1like"
"Eomes",0.0813911074266911,0.90945858157248,0.387632606867145,4,5,2,"Th1like"
"Sgk3.1",0.626863498556616,0.883586532429081,0.380254527251448,4,5,2,"Th1like"
"2310004I24Rik",0.411590972229011,0.871463113956573,0.381317811989591,4,5,2,"Th1like"
"Ch25h",-0.199685449868988,0.680222015296929,0.314496581465197,4,5,2,"Th1like"
"Rasa1",0.732126008682099,0.765697230117522,0.324088678052718,4,5,2,"Th1like"
"Fhit",0.771698660423697,0.738460057804381,0.334725483350081,4,5,2,"Th1like"
"Ms4a6b",0.323412207290738,0.84469043937062,0.241671578108238,4,5,2,"Th1like"
"Ube2q2.2",0.265927792673286,0.873809138009753,0.27262662596823,4,5,2,"Th1like"
"Mxra8",0.650429618450503,0.789772625537733,0.280544278825975,4,5,2,"Th1like"
"Il4ra",0.482045719981816,0.806603422399654,0.324518427108844,4,5,2,"Th1like"
"Trim21",0.664946363804857,0.850328382999997,0.321399983316364,4,5,2,"Th1like"
"D330045A20Rik.1",-0.482041492499301,-0.0775129666397477,0.544261761783411,1,1,3,"Superpos"
"Tgtp",0.796242868835351,0.329025313362023,0.580605740638035,1,1,3,"Superpos"
"C730027P07Rik",0.530416850264513,0.13584930258676,0.551022805002944,1,1,3,"Superpos"
"Hopx",-0.194051131391624,0.239271928931705,0.532582417661899,1,1,3,"Superpos"
"St3gal1",0.0593847006625987,0.198989892138385,0.49211457272306,1,1,3,"Superpos"
"Ffar2",0.399958549181314,0.200738314098821,0.514328801115826,1,1,3,"Superpos"
"Ltbp1.4",0.301595601021348,0.223918448033974,0.957474785669935,2,2,4,"Th2like"
"Furin.2",0.318033341850915,0.350470976809153,0.947469184047763,2,2,4,"Th2like"
"Ttc27",0.160655686722394,0.307720339992737,0.904180457318388,2,2,4,"Th2like"
"Furin",0.389625199436586,0.299067761790009,0.916647345879127,2,2,4,"Th2like"
"Actr3b",0.593693730115968,0.524433222432963,0.983417831983892,2,2,4,"Th2like"
"Nrp1",0.391414125905657,0.535749015796366,0.867515393058109,2,2,4,"Th2like"
"Ube2f.1",0.27130340911213,0.539570546014257,0.865717129435684,2,2,4,"Th2like"
"Tnfsf13b",0.589983562865689,0.623997727740367,0.875173212084272,2,2,4,"Th2like"
"Nrp1.1",0.42487076494423,0.595889714437499,0.860672515399499,2,2,4,"Th2like"
"Lif.1",0.675456490859892,0.582705918347642,0.90771809803672,2,2,4,"Th2like"
"Ctsw",0.305526716600734,0.608199637254153,0.932806233821964,2,2,4,"Th2like"
"Tiam1",0.328774310993259,0.609869509347439,0.907738346101667,2,2,4,"Th2like"
"Prr15",0.564211147098995,0.402884125105474,0.816489465554371,2,2,4,"Th2like"
"Ube2f.2",0.424502979630582,0.499899502532003,0.784185714804726,2,2,4,"Th2like"
"Acsl6.2",0.876275664068499,0.552593809152555,0.796281100548362,2,2,4,"Th2like"
"Rbpj.1",0.808409805079346,0.545380441017464,0.748798377531224,2,2,4,"Th2like"
"Oit3.1",0.936373186831975,0.580422764734168,0.703881957004069,2,2,4,"Th2like"
"Cxcr3",0.128235510240868,0.601287348622322,0.783781411820035,2,2,4,"Th2like"
"Sln",-0.215435671923652,-0.347267874206546,-0.070966910147875,5,6,5,"Ind"
"Irgm",0.198167213929652,-0.151047925610154,-0.495213443357063,5,6,5,"Ind"
"Lilrb4.1",0.869060135828225,0.192670709979582,0.277117686134053,6,7,6,"Ind"
"Tbc1d2.4",0.880437325148,0.26317094400698,0.225883239478728,6,7,6,"Ind"
"Shh",0.653842211004071,0.243176445220035,-0.0280680977197681,6,7,6,"Ind"
"Pparg.2",0.340592474305435,0.32339531050892,0.0891844613674362,6,7,6,"Ind"
"Edn1",0.672355280519816,0.00868836724806359,-0.185648598377841,6,8,6,"Ind"
"Iigp2",0.404097007181714,0.0307821925619069,0.153402259491791,6,8,6,"Ind"
"D330045A20Rik.2",0.393608509455778,0.0474911240174409,0.0559369003903484,6,8,6,"Ind"
"Il8ra",0.840629885210386,-0.0364070759459469,0.0604980836060091,6,8,6,"Ind"
"Adora3.1",0.542069896883832,-0.0247765104118679,0.0831533043384402,6,8,6,"Ind"
"D330045A20Rik",-1.87068090306366e-06,0.126372616084922,0.0889195653096187,6,8,6,"Ind"
"A630077B13Rik",0.741438258525011,0.0772653070211742,-0.0294766238251611,6,8,6,"Ind"
"Mgll.1",0.735282362159607,0.437624577477975,0.121606975954091,7,9,7,"Th1like"
"Gnaz",0.79676928360545,0.521113488880152,0.15981706031917,7,9,7,"Th1like"
"Timd2",0.0487889889905074,0.481316300030797,-0.00157831609208385,7,9,7,"Th1like"
"Fcrls",0.224693648102985,0.567283430531969,-0.0883476415743118,7,9,7,"Th1like"
"Ccr5",-0.656231633738613,0.511593758492207,-0.0904221288409747,7,9,7,"Th1like"
"Nkg7",-0.697765809368742,0.650565657321415,0.00896139852550057,7,9,7,"Th1like"
"2010001M09Rik",0.380664928950403,0.682711997247808,-0.0527546967770657,7,9,7,"Th1like"
"Klrk1.3",-0.409439994636458,0.776452321019193,-0.0283194522776137,7,9,7,"Th1like"
"Rexo2",0.424533789247154,0.762458834162262,-0.124550765870935,7,9,7,"Th1like"
"Clpx",0.0327553463399508,0.753083463165148,-0.078554470619523,7,9,7,"Th1like"
"Ifih1",0.455164825187262,0.717607945765233,0.170913228774544,7,9,7,"Th1like"
"Lrrk1.1",0.266236204153015,0.764018925004548,0.205298449945546,7,9,7,"Th1like"
"Dbndd2.2",0.640622568127212,0.776776958886535,0.161133061486494,7,9,7,"Th1like"
"Rapgef5",0.698721730329554,0.634174750294039,0.0869182245591256,7,9,7,"Th1like"
"Stambpl1",0.603036639908147,0.615597172628728,0.163437509482748,7,9,7,"Th1like"
"Oas2",-0.0106744717644166,0.948787363246209,-0.10586908679029,8,10,8,"Th1like"
"Snx10",-0.0381797647515201,0.938784023960049,-0.091158007646373,8,10,8,"Th1like"
"Oasl1.2",0.013331894939862,0.950906250212928,-0.0941360153209671,8,10,8,"Th1like"
"Sema4b",-0.141032928022875,0.952803522811593,-0.0859038717432036,8,10,8,"Th1like"
"Ifi203",0.0807040627254495,0.934670438937869,-0.0590853156068929,8,10,8,"Th1like"
"Ube2l6",-0.10505077538353,0.929898860630817,-0.0669188638948627,8,10,8,"Th1like"
"Mx1",-0.0730123605197414,0.945537808624701,-0.0571247051501789,8,10,8,"Th1like"
"Hsh2d",-0.0616826743447891,0.949769769314015,-0.0408037564361284,8,10,8,"Th1like"
"9930111J21Rik",0.10682881618197,0.939069815020055,-0.029080298743161,8,10,8,"Th1like"
"Oasl1",0.118424986048947,0.929857778575465,-0.0188226593927114,8,10,8,"Th1like"
"Rnf213",0.078888068282869,0.936964537673461,-0.0216523893888968,8,10,8,"Th1like"
"Atp10a",-0.0850896022522423,0.945324184442175,0.00303389785508395,8,10,8,"Th1like"
"Clec2e",-0.016751693209974,0.919186204205114,-0.00353914685008811,8,10,8,"Th1like"
"Gbp5",0.115234965512952,0.877332217561799,-0.060600207826951,8,10,8,"Th1like"
"Ifi35",-0.228926114614228,0.895638272414925,-0.028931450947066,8,10,8,"Th1like"
"Znfx1",-0.0428790100285785,0.911713914408315,-0.0391065060029403,8,10,8,"Th1like"
"Serpina3f",0.160748682972547,0.821718203314819,0.0338431207793589,8,10,8,"Th1like"
"Tspan6",-0.0767696064596472,0.859467801764588,0.0355128735470871,8,10,8,"Th1like"
"Gbp5.1",0.406512327325302,0.859470792891593,0.0181379711395441,8,10,8,"Th1like"
"BC006779",-0.00170445589510373,0.960609833543971,0.0356608090083883,8,10,8,"Th1like"
"BC094916.1",0.0783204496373622,0.949359009527516,0.0295780347619898,8,10,8,"Th1like"
"Tdrd7",-0.00563597428585329,0.975828790524099,0.0791485201701762,8,10,8,"Th1like"
"Csprs",0.0331941967573944,0.981097507836331,0.0636908971288266,8,10,8,"Th1like"
"Zbp1.1",-0.0541864518647672,0.930768537777524,0.0818138469650648,8,10,8,"Th1like"
"Mtap6.2",0.25259451368976,0.955143394615044,0.076382782331866,8,10,8,"Th1like"
"Gata3",-0.554291864145198,0.771865568917677,-0.28361961439939,8,11,8,"Th1like"
"Gbp1",-0.261730677851927,0.750526424868084,-0.385421692280461,8,11,8,"Th1like"
"Gbp3.1",-0.22010914911459,0.829360492991672,-0.379648197053121,8,11,8,"Th1like"
"Gbp6.1",-0.0161281754405,0.795898606866267,-0.362227433651451,8,11,8,"Th1like"
"Marcks",-0.192672806423002,0.86340685438989,-0.202568861565891,8,11,8,"Th1like"
"Endod1",0.37518382490728,0.747310545300977,-0.169992139699565,8,11,8,"Th1like"
"Parp14",-0.0898712802167984,0.775666623069322,-0.18463440155367,8,11,8,"Th1like"
"Gbp6",0.0287523118183534,0.792913591412851,-0.197041685033184,8,11,8,"Th1like"
"Rsad2",-0.504972788055344,0.93710664135734,-0.347938795788154,8,11,8,"Th1like"
"Ddx60",-0.20312592140533,0.986009035710825,-0.292686239009939,8,11,8,"Th1like"
"AI451617",-0.464534253200016,0.979995022960155,-0.308176034055393,8,11,8,"Th1like"
"Oas1g",-0.200844018657532,0.943614317489496,-0.247092120996127,8,11,8,"Th1like"
"LOC435565",-0.507017032916271,0.943264045624102,-0.26665447378756,8,11,8,"Th1like"
"Ifit2.1",-0.0246228426071534,0.922925800448024,-0.199169366705766,8,11,8,"Th1like"
"Plac8",-0.507402206708605,0.917070209720116,-0.205251309690651,8,11,8,"Th1like"
"Lgals3bp",-0.166597963989066,0.962141687372022,-0.200326535911963,8,11,8,"Th1like"
"Irf7",-0.140940549975821,0.973845054940308,-0.19637025886784,8,11,8,"Th1like"
"Ifit2",-0.0310720384912343,0.905172900625711,-0.120721434444027,8,11,8,"Th1like"
"BC094916",-0.0705220656873909,0.903362874289424,-0.143706105591472,8,11,8,"Th1like"
"Usp18",-0.248626679326152,0.976309633365033,-0.151168746504841,8,11,8,"Th1like"
"Usp18.1",-0.14025639248958,0.982269310286472,-0.127212218432721,8,11,8,"Th1like"
"Amica1",-0.747539151257277,0.986916746674323,-0.699325715911422,9,12,9,"Th1like"
"Efna5",-0.748999553203135,0.897440703574687,-0.592466993546614,9,12,9,"Th1like"
"Bst2",-0.502983175055808,0.902214223649313,-0.600268336846005,9,12,9,"Th1like"
"Ly6a",-0.385896610910149,0.953851331143154,-0.571375267679575,9,12,9,"Th1like"
"Rtp4",-0.494194502330966,0.938829046081492,-0.574704647890478,9,12,9,"Th1like"
"Ccr5.1",-0.581605201619945,0.742142351803733,-0.54253752239025,9,12,9,"Th1like"
"Parp12",-0.438490946082744,0.88851521125317,-0.527829647242803,9,12,9,"Th1like"
"Tlr7",-0.352361156881982,0.866628957689538,-0.490097004094427,9,12,9,"Th1like"
"Oas1g.3",-0.397225622971729,0.952548518914429,-0.479288141000504,9,12,9,"Th1like"
"Ifit3.1",-0.415170246871026,0.970368248407201,-0.452497262925151,9,12,9,"Th1like"
"Ifit3",-0.485398679166784,0.955079058873004,-0.523231522761183,9,12,9,"Th1like"
"Ifi202b",-0.453129340265871,0.914920210860015,-0.492769535795512,9,12,9,"Th1like"
"Ifi202b.1",-0.579216366817824,0.917726934289491,-0.518712943721636,9,12,9,"Th1like"
"Nts",-0.0191331912194587,0.325646993359573,-0.400599438307591,10,13,10,"Th1like"
"Mgll.2",0.596722321212428,0.499781284474826,-0.261172324103188,10,13,10,"Th1like"
"Mgll",0.497520472247618,0.625660180937925,-0.242782217144167,10,13,10,"Th1like"
"Ms4a6d.1",-0.744202098009705,0.64493784373412,-0.18356038479618,10,13,10,"Th1like"
