"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Gbp5",-0.0915433716316623,0.792936728802991,-0.219716367280142,1
"Tlr7",-0.289805045817244,0.791851957093135,-0.445941385995151,1
"Pou2f1.1",0.476460578228639,0.905693162380724,0.414392227230842,1
"Mtss1",0.69689432024812,0.959127890767152,0.658996857532468,1
"Dppa4.2",-0.346633767592257,0.693309924371576,-0.501316709153833,1
"Mycbp.1",0.82018217168351,0.931324815803722,0.803587323165849,1
"Stk38l",0.456683100833816,0.989599487359992,0.37812194656825,1
"Eml5.2",0.40203344963496,0.906241412129894,0.32766638295944,1
"Casp1",0.213399601021294,0.946060963238948,0.105539645528816,1
"Scotin.2",0.882313558942467,0.970083048790234,0.869383838623141,1
"Pqbp1",0.817009353539352,0.966216412999609,0.795259780200012,1
"Pkd2",0.64843036529329,0.942700950366722,0.605367150764166,1
"Asah2",0.840993374151786,0.986903942970746,0.819607455492111,1
"B230342M21Rik",0.817686364932625,0.991364692061061,0.794611076315543,1
"9930111J21Rik",-0.0434865501800384,0.933844257592852,-0.17375483507848,1
"Tnfaip1",0.799198021746766,0.891449961986998,0.786739373829133,1
"2010111I01Rik",0.315172301045984,0.870297315316808,0.239755216446749,1
"Parp14.1",-0.00462281113097611,0.719073925556517,-0.102743120285589,1
"Rgs1.1",-0.0475810230646326,0.904555758041896,-0.179920962186131,1
"Tec",0.416152310839579,0.980805585078159,0.338053677008839,1
"AA415398",0.786887515429988,0.88030443056862,0.773976996301438,1
"Speer2",0.316249568697816,0.75574688212733,0.254409766206558,1
"9130011J15Rik",0.526351459830504,0.95388921720205,0.465726677190964,1
"Rgs1.2",-0.13666323684862,0.880184470101111,-0.280880979477272,1
"Ap2b1",0.600367263311942,0.878851633907948,0.56456911260594,1
"Tmem16k",0.871131513480362,0.952937526708117,0.860613182269272,1
"Irf5",0.8410925664752,0.968399413147232,0.824792469483818,1
"Gpbp1l1",0.631270937013692,0.922191179539254,0.593952228394574,1
"Hap1.2",-0.121701801519946,0.540972502204999,-0.208226186997745,1
"Ifit2",-0.0785345304706608,0.881422725729683,-0.20305361252689,1
"Ecm1.1",0.783517628510232,0.956201504293145,0.761132909299028,1
"Tst",0.332336693594464,0.817387752957537,0.271959053144074,1
