"annot","gene","celltype"
3,"Mrps28","Th0"
1,"C1qb","Th0"
3,"Adam4","Th0"
1,"Tmem127","Th0"
3,"Trub2","Th0"
2,"Tg","Th0"
1,"Gpatch2","Th0"
2,"Rab3a","Th0"
2,"Ncapg2","Th0"
2,"Fus","Th0"
1,"Zfp672","Th0"
2,"Eno1","Th0"
3,"Obfc2a","Th0"
2,"Fads1","Th0"
1,"Dok3","Th0"
2,"AA407659","Th0"
1,"Srpk1","Th0"
2,"Cd4","Th0"
1,"Rpe","Th0"
1,"Rabac1","Th0"
1,"Ppapdc2","Th0"
3,"Pex11a","Th0"
1,"D12Ertd553e","Th0"
1,"Mrvi1","Th0"
3,"Mrps7","Th0"
2,"Ccdc5","Th0"
2,"Ccnd3","Th0"
2,"Tfrc","Th0"
2,"Akr1c18","Th0"
2,"Smtn","Th0"
2,"Ola1","Th0"
3,"Cnih4","Th0"
1,"Tspan14","Th0"
2,"3010026O09Rik","Th0"
2,"Crtap","Th0"
3,"Gps1","Th0"
1,"Cdc2l5","Th0"
2,"Mlkl","Th0"
3,"Oxsr1","Th0"
2,"Dmwd","Th0"
3,"Ncl","Th0"
3,"Nfkbid","Th0"
2,"Sulf2","Th0"
1,"Accs","Th0"
2,"Siah1b","Th0"
2,"Mbd5","Th0"
2,"Snx1","Th0"
2,"Acsl6","Th0"
2,"Mapk1ip1l","Th0"
2,"Incenp","Th0"
1,"Habp4","Th0"
2,"Hemk1","Th0"
2,"Nsl1","Th0"
1,"5730494M16Rik","Th0"
1,"Bcl7a","Th0"
1,"D4Wsu132e","Th0"
2,"Hectd3","Th0"
2,"Cd80","Th0"
1,"Itgad","Th0"
2,"Rdh11","Th0"
2,"Eif4enif1","Th0"
3,"Ddx21","Th0"
2,"F2rl2","Th0"
1,"Tpcn1","Th0"
2,"BC031353","Th0"
3,"Dgat2","Th0"
2,"Pmvk","Th0"
1,"A430107D22Rik","Th0"
2,"Hmgn3","Th0"
2,"Gimap7","Th0"
3,"Rangrf","Th0"
2,"Pola2","Th0"
