annot,gene,celltype,annot_new
1,Trub2,Th0,1
2,Tg,Th0,2
3,Gpatch2,Th0,3
2,Rab3a,Th0,2
2,Ncapg2,Th0,2
2,Fus,Th0,2
3,Zfp672,Th0,3
2,Eno1,Th0,2
1,Obfc2a,Th0,1
2,Fads1,Th0,2
3,Dok3,Th0,3
2,AA407659,Th0,2
3,Srpk1,Th0,3
2,Cd4,Th0,2
3,Rpe,Th0,3
3,Rabac1,Th0,3
3,Ppapdc2,Th0,3
1,Pex11a,Th0,1
3,D12Ertd553e,Th0,3
3,Mrvi1,Th0,3
1,Mrps7,Th0,1
2,Ccdc5,Th0,2
2,Ccnd3,Th0,2
2,Tfrc,Th0,2
2,Akr1c18,Th0,2
2,Smtn,Th0,2
2,Ola1,Th0,2
1,Cnih4,Th0,1
3,Tspan14,Th0,3
2,3010026O09Rik,Th0,2
2,Crtap,Th0,2
1,Gps1,Th0,1
3,Cdc2l5,Th0,3
2,Mlkl,Th0,2
1,Oxsr1,Th0,1
2,Dmwd,Th0,2
1,Ncl,Th0,1
1,Nfkbid,Th0,1
2,Sulf2,Th0,2
3,Accs,Th0,3
2,Siah1b,Th0,2
2,Mbd5,Th0,2
2,Snx1,Th0,2
2,Acsl6,Th0,2
2,Mapk1ip1l,Th0,2
2,Incenp,Th0,2
3,Habp4,Th0,3
2,Hemk1,Th0,2
2,Nsl1,Th0,2
3,5730494M16Rik,Th0,3
3,Bcl7a,Th0,3
3,D4Wsu132e,Th0,3
2,Hectd3,Th0,2
2,Cd80,Th0,2
3,Itgad,Th0,3
2,Rdh11,Th0,2
2,Eif4enif1,Th0,2
1,Ddx21,Th0,1
2,F2rl2,Th0,2
3,Tpcn1,Th0,3
2,BC031353,Th0,2
1,Dgat2,Th0,1
2,Pmvk,Th0,2
3,A430107D22Rik,Th0,3
2,Hmgn3,Th0,2
2,Gimap7,Th0,2
1,Rangrf,Th0,1
2,Pola2,Th0,2
3,Rtn4rl1,Th0,3
2,Tubb6,Th0,2
2,Mtbp,Th0,2
3,Atp9a,Th0,3
2,Ccdc92,Th0,2
3,5830434P21Rik,Th0,3
2,Fignl1,Th0,2
2,Dtymk,Th0,2
2,Polq,Th0,2
2,Elovl6,Th0,2
2,6230416J20Rik,Th0,2
3,Dusp23,Th0,3
1,Cycs,Th0,1
2,Hist1h2ah,Th0,2
3,Csk,Th0,3
2,H2-Oa,Th0,2
2,Acot7,Th0,2
1,Mrps2,Th0,1
3,Sept9,Th0,3
3,Esco1,Th0,3
2,Tex9,Th0,2
1,Krr1,Th0,1
3,Map3k1,Th0,3
3,D6Wsu176e,Th0,3
3,Camk1d,Th0,3
2,Uqcr,Th0,2
2,E2f2,Th0,2
2,Pik3ap1,Th0,2
1,Nubp1,Th0,1
2,Mbc2,Th0,2
3,Smug1,Th0,3
3,A130092J06Rik,Th0,3
2,Armcx1,Th0,2
1,Ddx1,Th0,1
3,Tbcel,Th0,3
1,Immt,Th0,1
3,Xpc,Th0,3
2,Egln1,Th0,2
1,Siah2,Th0,1
1,Tle6,Th0,1
2,Mettl4,Th0,2
2,Prc1,Th0,2
3,Stx1a,Th0,3
1,Sema7a,Th0,1
3,Trat1,Th0,3
2,Arrb1,Th0,2
2,Sdcbp2,Th0,2
1,Hic1,Th0,1
2,Xrcc6,Th0,2
1,Lilrb4,Th0,1
2,Mrpl1,Th0,2
3,Lyz2,Th0,3
2,Fgf2,Th0,2
3,Tspan32,Th0,3
3,Rbm38,Th0,3
3,Rag1ap1,Th0,3
3,Itgb7,Th0,3
1,Pex14,Th0,1
3,Cbx7,Th0,3
2,Abcb6,Th0,2
2,Eif2ak2,Th0,2
1,Ece2,Th0,1
2,Ifitm2,Th0,2
2,Gzf1,Th0,2
3,4933421E11Rik,Th0,3
3,BC057079,Th0,3
2,Lmnb1,Th0,2
3,Nfatc3,Th0,3
1,Yrdc,Th0,1
2,Snai3,Th0,2
1,Ipo5,Th0,1
2,H2-DMa,Th0,2
3,Sidt1,Th0,3
3,Sec16a,Th0,3
2,Capsl,Th0,2
1,Hras1,Th0,1
2,2410004L22Rik,Th0,2
2,Hif1a,Th0,2
2,C1qdc2,Th0,2
2,Hdac7,Th0,2
2,Ahnak,Th0,2
2,Mlycd,Th0,2
2,Map3k12,Th0,2
3,Mylc2b,Th0,3
3,Prr7,Th0,3
2,Lrp11,Th0,2
1,Bcl6,Th0,1
2,Arl6,Th0,2
3,Prkag1,Th0,3
3,Pscd3,Th0,3
3,4930486L24Rik,Th0,3
3,Pik3ip1,Th0,3
2,Nckap1l,Th0,2
2,S100a1,Th0,2
2,Tfb1m,Th0,2
3,Trim56,Th0,3
3,Laptm5,Th0,3
3,Cd22,Th0,3
3,Fcrls,Th0,3
1,Pop1,Th0,1
