"gene","celltype","annot"
"Pddc1","Th0",2
"Rab8b","Th0",1
"Aqr","Th0",3
"Rgs1","Th0",2
"Arid4a.1","Th0",3
"Nfatc1.1","Th0",3
"Rabgap1l","Th0",2
"Pmpcb","Th0",2
"Sept1","Th0",3
"Arfrp1.1","Th0",3
"Bbc3","Th0",3
"Psmd9","Th0",2
"1500001M20Rik","Th0",1
"EG634650","Th0",2
"BC006779","Th0",2
"Gvin1","Th0",2
"Tyrobp","Th0",3
"Klhdc1","Th0",3
"5730596K20Rik.1","Th0",1
"Bmpr1a","Th0",2
"Lzic","Th0",1
"Wnk1","Th0",3
"Slc2a3","Th0",2
"Cmtm7","Th0",2
"Pitpnc1","Th0",3
"Sephs1","Th0",3
"Pde6d","Th0",2
"Ncl","Th0",1
"Nmd3","Th0",1
"Bbs5","Th0",2
"BC094916","Th0",2
"Cbwd1","Th0",1
"Thex1","Th0",2
"Nus1","Th0",1
"Pde2a","Th0",3
"Epb4.1l3.1","Th0",3
"Fryl","Th0",3
"Pign","Th0",2
"B230339M05Rik","Th0",3
"Aldh6a1","Th0",3
"Alcam","Th0",1
"1810015A11Rik","Th0",2
"Fbxo32","Th0",3
"Fos","Th0",3
"Sidt2","Th0",3
"Usp53","Th0",3
"Gins2","Th0",2
"Lgals3","Th0",2
"Nin","Th0",3
"Krtcap2","Th0",2
"Prmt7","Th0",1
"Cyp4f13","Th0",3
"Vrk1","Th0",1
"Pacs2","Th0",3
"Ulk2","Th0",3
"Tgfbr3","Th0",3
"Pdia6","Th0",1
"Flcn","Th0",3
"AI451557","Th0",3
"Vkorc1l1","Th0",1
"H2-Eb1","Th0",3
"Nucb1","Th0",2
"Rab6ip1","Th0",2
"Pkd1","Th0",3
"Lrp12","Th0",2
"Zc3h7a","Th0",3
"Itgae","Th0",3
"2610209M04Rik","Th0",2
"Plk1","Th0",2
"Aarsd1","Th0",2
"Zc3hav1","Th0",3
"Ctsa","Th0",3
"Eif4a1","Th0",1
"Ggt7","Th0",2
"Sh3kbp1","Th0",3
"Cyp51","Th0",2
"Slc37a4","Th0",2
"Creb3","Th0",3
"0610031J06Rik","Th0",3
"Xpnpep1.1","Th0",2
"Sp140","Th0",2
"Rufy1","Th0",3
"1500012F01Rik","Th0",2
"Ramp3","Th0",3
"Tnrc6a","Th0",3
"Ptpn12","Th0",3
"Chac1","Th0",2
"E130012A19Rik","Th0",1
"Nubp2.1","Th0",1
"Atpbd1b","Th0",1
"Isg20","Th0",2
"Mdm1.1","Th0",2
"Pgls","Th0",2
"Ech1","Th0",2
"Rbms1","Th0",3
"Supt3h","Th0",2
"1700019H03Rik","Th0",3
"Cd69","Th0",1
"Zfp106","Th0",1
"Sugt1","Th0",2
"Mrpl30","Th0",2
"Mrps28","Th0",1
"C1qb","Th0",3
"Adam4","Th0",3
"Slc35b3","Th0",3
"Tmem127","Th0",3
"Trub2","Th0",1
"Cd40","Th0",1
"Uros","Th0",3
"Add1","Th0",3
"Gadd45a","Th0",3
"Asns","Th0",2
"Ifngr2","Th0",3
"Tg","Th0",2
"Gpatch2","Th0",3
"Rab3a","Th0",3
"5230400G24Rik","Th0",2
"Trim34","Th0",2
"Ncapg2.1","Th0",2
"Fus","Th0",2
"Zfp672","Th0",3
"Eno1","Th0",2
"Obfc2a","Th0",1
"Fads1","Th0",2
"Dok3","Th0",3
"AA407659","Th0",2
"Srpk1","Th0",3
"Cd4","Th0",3
"Rpe","Th0",3
"Rabac1","Th0",3
"Ppapdc2","Th0",3
"Pex11a","Th0",1
"D12Ertd553e","Th0",3
"Mrvi1","Th0",3
"Ruvbl1","Th0",1
"Mrps7","Th0",1
"Ampd1","Th0",3
"Ccdc5","Th0",2
"Ccnd3","Th0",2
"Hps3","Th0",3
"Tfrc","Th0",2
"Akr1c18","Th0",2
"Smtn","Th0",2
"Sgk3.1","Th0",3
"Ola1","Th0",1
"Ecm1","Th0",2
"Cnih4","Th0",2
"Tspan14","Th0",3
"Drg1","Th0",2
"3010026O09Rik","Th0",2
"Lsm12","Th0",1
"Crtap","Th0",2
"Hvcn1","Th0",3
"Gps1","Th0",1
"Cdc2l5","Th0",3
"Creb1.1","Th0",3
"Dnajc2","Th0",1
"Mlkl","Th0",2
"Oxsr1","Th0",1
"Dmwd","Th0",2
"Ncl.1","Th0",1
"Nfkbid","Th0",1
"Sulf2","Th0",2
"Accs","Th0",3
"Siah1b","Th0",2
"Mbd5","Th0",3
"Snx1","Th0",2
"Acsl6","Th0",2
"Mapk1ip1l","Th0",2
"Usp1","Th0",2
"Sgip1","Th0",1
"Eif3eip.1","Th0",1
"Incenp","Th0",2
"Habp4","Th0",3
"Mta3","Th0",3
"Hemk1","Th0",2
"Tmem66","Th0",3
"Nsl1","Th0",2
"5730494M16Rik","Th0",3
"Bcl7a","Th0",2
