"annot","gene","celltype"
2,"Mlycd","Th0"
2,"Rnf167","Th0"
1,"Map3k12","Th0"
2,"Mylc2b","Th0"
2,"Prr7","Th0"
1,"Lrp11","Th0"
1,"Hprt1","Th0"
2,"Bcl6","Th0"
1,"Arl6","Th0"
1,"Sdcbp2.1","Th0"
2,"Prkag1","Th0"
2,"Pscd3","Th0"
2,"4930486L24Rik","Th0"
3,"St6galnac4","Th0"
2,"Pik3ip1","Th0"
2,"Nckap1l","Th0"
1,"Pkp2","Th0"
1,"S100a1","Th0"
1,"Tfb1m","Th0"
2,"Trim56","Th0"
2,"Laptm5","Th0"
2,"Cd22","Th0"
2,"Fcrls","Th0"
3,"Pop1","Th0"
2,"Tmem71","Th0"
1,"Cox7b","Th0"
3,"Atp2a2.1","Th0"
2,"Pcaf","Th0"
2,"Cd3g","Th0"
2,"Zfp429.1","Th0"
2,"Morc3","Th0"
1,"Ppt1","Th0"
3,"Sars","Th0"
2,"Vipr1","Th0"
3,"Thop1","Th0"
2,"Rfx2","Th0"
3,"Mapk6.1","Th0"
1,"4930539E08Rik","Th0"
3,"Grwd1","Th0"
1,"1700019E19Rik","Th0"
1,"Cenpf","Th0"
2,"Cd97","Th0"
1,"1110001A07Rik","Th0"
3,"Ptcd3","Th0"
1,"Nsdhl","Th0"
2,"Cd27","Th0"
1,"Plcxd1.1","Th0"
1,"Prpf40a","Th0"
2,"Cotl1","Th0"
2,"Vps54","Th0"
3,"Tmem33.1","Th0"
1,"Cryz","Th0"
2,"Psen2","Th0"
2,"Qpct","Th0"
3,"Ccr8","Th0"
2,"C630004H02Rik","Th0"
2,"Dlgap4","Th0"
2,"Lmo4","Th0"
2,"Setd4","Th0"
2,"Ccr6","Th0"
2,"5830427D03Rik","Th0"
3,"Nol9","Th0"
3,"Irf4","Th0"
3,"Gsto1","Th0"
1,"Tomm22","Th0"
3,"Napa","Th0"
1,"EG330305","Th0"
1,"Pde6d.1","Th0"
1,"Atic","Th0"
2,"Entpd6","Th0"
1,"Akr1c12","Th0"
2,"Ash1l","Th0"
1,"Pygl","Th0"
2,"Ifngr1","Th0"
2,"Map3k1.1","Th0"
3,"Cd6.1","Th0"
2,"Emr1","Th0"
2,"Elac1.1","Th0"
3,"Snrpd2","Th0"
2,"Id2","Th0"
2,"Snn","Th0"
2,"Rccd1","Th0"
1,"Mipep","Th0"
2,"Pecam1","Th0"
1,"Cuedc1","Th0"
1,"Pde7a","Th0"
1,"Dab2ip","Th0"
1,"Fkbp2","Th0"
3,"Hus1.1","Th0"
1,"Serpina3g","Th0"
1,"Upp1","Th0"
3,"Ran","Th0"
3,"1300001I01Rik","Th0"
1,"Cdca3","Th0"
1,"Srp54","Th0"
3,"AK122525","Th0"
2,"Tlr6","Th0"
1,"Gnpda1","Th0"
2,"D12Ertd551e","Th0"
1,"Espl1","Th0"
3,"Prdx1.1","Th0"
1,"Gyg","Th0"
1,"Mxi1","Th0"
1,"Glrx3","Th0"
2,"Nfatc3.1","Th0"
3,"Fkbp11","Th0"
2,"Actn2","Th0"
1,"Cdt1","Th0"
2,"Txndc13","Th0"
3,"Usp54","Th0"
1,"Rxra","Th0"
1,"Tceal8","Th0"
2,"Gmfg","Th0"
1,"Hsd17b7","Th0"
2,"AI662250","Th0"
2,"Emp3","Th0"
2,"Tmem42","Th0"
1,"Prdm16.1","Th0"
3,"Polr3e","Th0"
1,"St3gal4","Th0"
3,"Ttc19","Th0"
2,"Selplg","Th0"
2,"4933439C20Rik","Th0"
3,"Mrpl54","Th0"
3,"Ndufa12","Th0"
2,"Pkn1.1","Th0"
1,"Hspa2","Th0"
1,"Snx25","Th0"
2,"Arl6ip5","Th0"
1,"Copz2.1","Th0"
3,"Spag9","Th0"
3,"Mettl1","Th0"
2,"Akna","Th0"
2,"Nedd9","Th0"
2,"Cd55","Th0"
3,"Tgif1","Th0"
3,"Adarb1","Th0"
3,"Mrps18a","Th0"
1,"Anp32a","Th0"
2,"Cdipt.1","Th0"
2,"Arhgdib","Th0"
1,"5430432M24Rik","Th0"
1,"Pip5k1b","Th0"
1,"Mov10","Th0"
2,"Pcaf.1","Th0"
1,"H2afx","Th0"
1,"Suv39h1","Th0"
2,"Rasgrp2.1","Th0"
1,"Arfgap3","Th0"
3,"Atf3","Th0"
2,"Clec2i","Th0"
1,"Slc16a3","Th0"
3,"Mybbp1a","Th0"
1,"Kcnk10","Th0"
2,"2510002D24Rik","Th0"
3,"Ndor1.1","Th0"
1,"Eno2","Th0"
3,"1700029G01Rik","Th0"
1,"Vapa","Th0"
1,"Ppp1ca","Th0"
2,"Rab3ip","Th0"
2,"Numa1","Th0"
3,"Rg9mtd2","Th0"
1,"Apobec1","Th0"
2,"Mettl3","Th0"
2,"Mllt3.1","Th0"
3,"Tgif2","Th0"
3,"Hsp90aa1","Th0"
1,"Nap1l1","Th0"
2,"D12Ertd647e.1","Th0"
2,"Uros.1","Th0"
2,"Mbd1","Th0"
2,"2310037I24Rik","Th0"
1,"Hist1h2ai","Th0"
2,"Prkcz.1","Th0"
3,"1110007M04Rik","Th0"
2,"Arrb2","Th0"
3,"Uxt","Th0"
2,"BC029214","Th0"
2,"Dgkz","Th0"
2,"Prei4","Th0"
3,"Mdh2","Th0"
2,"Scp2","Th0"
1,"Hist2h2aa2","Th0"
3,"Frmd6","Th0"
2,"Rmnd1","Th0"
1,"Spint2","Th0"
1,"Taf9","Th0"
2,"Sp100","Th0"
1,"Spp1","Th0"
1,"Chek1.1","Th0"
2,"Atg4d","Th0"
2,"Angel2","Th0"
1,"Dut","Th0"
2,"Klhdc5","Th0"
3,"Mina","Th0"
1,"Ap2s1","Th0"
1,"1700027N10Rik","Th0"
2,"Fbxo33","Th0"
3,"Dusp2","Th0"
1,"Slc35d3","Th0"
2,"Pik3r1","Th0"
1,"Dek","Th0"
1,"Smc3.1","Th0"
1,"Hist1h3e","Th0"
1,"Ckap5","Th0"
2,"Casp8","Th0"
2,"Irf1","Th0"
1,"Idh1","Th0"
3,"Gusb","Th0"
1,"Anln","Th0"
3,"Ccl1","Th0"
3,"Cd3eap","Th0"
1,"Prim2","Th0"
1,"Grhpr","Th0"
2,"S100a8","Th0"
3,"Hspa9","Th0"
2,"Ctso","Th0"
1,"Dock6","Th0"
1,"Rnf26","Th0"
1,"Creb3l2","Th0"
1,"Uhrf1bp1","Th0"
1,"EG245297","Th0"
2,"Syf2","Th0"
1,"Bhlhb2","Th0"
3,"Xpot","Th0"
2,"Tbx6","Th0"
3,"Utp15","Th0"
2,"Ugcg","Th0"
1,"Ddit3","Th0"
3,"Gars","Th0"
3,"Exosc6","Th0"
2,"Mxra8","Th0"
1,"Tpd52","Th0"
1,"1110005A23Rik","Th0"
1,"0610007P14Rik","Th0"
2,"Srf","Th0"
1,"Ralb","Th0"
1,"Cryz.1","Th0"
1,"Fcf1","Th0"
1,"Srp72","Th0"
2,"LOC547323","Th0"
1,"Syngr1.1","Th0"
1,"Syngr2.1","Th0"
3,"Exosc1","Th0"
1,"Pfkm","Th0"
2,"Map2k6","Th0"
2,"Il6ra.1","Th0"
1,"Nupr1","Th0"
1,"Birc5","Th0"
2,"Arid3b","Th0"
2,"P2ry14","Th0"
1,"Ptger2","Th0"
3,"Bcl2l1","Th0"
2,"Lrrc1","Th0"
2,"BC021381","Th0"
2,"Wbp1","Th0"
2,"Ccr5","Th0"
3,"3110082I17Rik","Th0"
2,"Entpd5","Th0"
1,"Chtf18","Th0"
3,"Nr1d2","Th0"
3,"E2f5","Th0"
2,"Frat1","Th0"
1,"Asns.1","Th0"
1,"Nde1.1","Th0"
1,"Ndufb2","Th0"
1,"Stxbp1.1","Th0"
2,"Kcnmb4","Th0"
2,"Fcrla.1","Th0"
2,"Cecr5","Th0"
1,"Mllt4","Th0"
2,"Cox7a2l","Th0"
1,"Pcsk4.1","Th0"
1,"Hist1h2bn","Th0"
3,"Il10","Th0"
2,"2610020H08Rik","Th0"
2,"Scotin.1","Th0"
2,"Ogt.1","Th0"
3,"Traf4","Th0"
2,"Ppp1r9b","Th0"
3,"Tada2l","Th0"
1,"Ezh2.1","Th0"
3,"Ptges3","Th0"
3,"Erh","Th0"
2,"B230339M05Rik.1","Th0"
1,"Eprs","Th0"
1,"Zhx1.1","Th0"
1,"Pkn3","Th0"
3,"Fbxl10.1","Th0"
2,"Tnfrsf14","Th0"
3,"Tnfrsf9.1","Th0"
1,"2310056P07Rik","Th0"
1,"Il4","Th0"
1,"Stra6","Th0"
3,"Eif3s10","Th0"
3,"Mllt1.2","Th0"
3,"Ahi1","Th0"
2,"Tnfaip8l2.1","Th0"
1,"1700019D03Rik","Th0"
1,"Kif24.1","Th0"
1,"Gpt2","Th0"
1,"Asf1b","Th0"
2,"Arrdc1","Th0"
1,"Parp12","Th0"
1,"6720463M24Rik","Th0"
1,"Unc13d","Th0"
1,"Nusap1","Th0"
1,"Plscr1","Th0"
1,"Phf11","Th0"
3,"Abce1","Th0"
1,"Arbp","Th0"
3,"Cse1l","Th0"
2,"Ssbp3","Th0"
1,"Dguok","Th0"
3,"Akr1b3","Th0"
3,"Orai1","Th0"
1,"Fkbp1a","Th0"
1,"Cd70","Th0"
1,"Rpa1","Th0"
1,"Ryk","Th0"
3,"Uchl5","Th0"
2,"Cpne4","Th0"
1,"Gbp2","Th0"
2,"BC050811.1","Th0"
2,"Pik3r3","Th0"
3,"Hnrpll","Th0"
