"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "1/48" "120/7293" 0.550206743570391 0.770169564542945 0.770169564542945 "Mgll" 1
"MAZ_Q6" "MAZ_Q6" "MAZ_Q6" "1/48" "120/7293" 0.550206743570391 0.770169564542945 0.770169564542945 "Pik3ap1" 1
"MYC_Q2" "MYC_Q2" "MYC_Q2" "1/48" "120/7293" 0.550206743570391 0.770169564542945 0.770169564542945 "Rexo2" 1
"SRY_01" "SRY_01" "SRY_01" "1/48" "120/7293" 0.550206743570391 0.770169564542945 0.770169564542945 "Nts" 1
"FOX_Q2" "FOX_Q2" "FOX_Q2" "1/48" "121/7293" 0.553216652438176 0.770169564542945 0.770169564542945 "Mgll" 1
"OCT1_04" "OCT1_04" "OCT1_04" "1/48" "121/7293" 0.553216652438176 0.770169564542945 0.770169564542945 "Cd86" 1
"FOXD3_01" "FOXD3_01" "FOXD3_01" "1/48" "124/7293" 0.562128536021333 0.770169564542945 0.770169564542945 "Marcks" 1
"HEN1_01" "HEN1_01" "HEN1_01" "1/48" "124/7293" 0.562128536021333 0.770169564542945 0.770169564542945 "Mgll" 1
"OCT1_03" "OCT1_03" "OCT1_03" "1/48" "124/7293" 0.562128536021333 0.770169564542945 0.770169564542945 "Pparg" 1
"PBX1_01" "PBX1_01" "PBX1_01" "1/48" "126/7293" 0.567972844616366 0.770169564542945 0.770169564542945 "Aqp9" 1
"AP4_Q6" "AP4_Q6" "AP4_Q6" "1/48" "127/7293" 0.570866287264394 0.770169564542945 0.770169564542945 "Gata3" 1
"TEF1_Q6" "TEF1_Q6" "TEF1_Q6" "1/48" "127/7293" 0.570866287264394 0.770169564542945 0.770169564542945 "Gata3" 1
"PAX4_02" "PAX4_02" "PAX4_02" "1/48" "128/7293" 0.573740752546463 0.770169564542945 0.770169564542945 "Marcks" 1
"POU1F1_Q6" "POU1F1_Q6" "POU1F1_Q6" "1/48" "128/7293" 0.573740752546463 0.770169564542945 0.770169564542945 "Znfx1" 1
"GGGYGTGNY_UNKNOWN" "GGGYGTGNY_UNKNOWN" "GGGYGTGNY_UNKNOWN" "3/48" "451/7293" 0.577386084792395 0.770169564542945 0.770169564542945 "Tspan6/Pik3ap1/Parp12" 3
"OCT_Q6" "OCT_Q6" "OCT_Q6" "1/48" "130/7293" 0.579433237593596 0.770169564542945 0.770169564542945 "Cd86" 1
"S8_01" "S8_01" "S8_01" "1/48" "130/7293" 0.579433237593596 0.770169564542945 0.770169564542945 "Efna5" 1
"IK3_01" "IK3_01" "IK3_01" "1/48" "132/7293" 0.585051265294631 0.770169564542945 0.770169564542945 "Gata3" 1
"HNF1_Q6" "HNF1_Q6" "HNF1_Q6" "1/48" "133/7293" 0.587832656059309 0.770169564542945 0.770169564542945 "Aqp9" 1
"OCT_C" "OCT_C" "OCT_C" "1/48" "133/7293" 0.587832656059309 0.770169564542945 0.770169564542945 "Bst2" 1
"IPF1_Q4" "IPF1_Q4" "IPF1_Q4" "1/48" "134/7293" 0.590595789091314 0.770169564542945 0.770169564542945 "Aqp9" 1
"SRF_Q5_01" "SRF_Q5_01" "SRF_Q5_01" "1/48" "134/7293" 0.590595789091314 0.770169564542945 0.770169564542945 "Pparg" 1
