"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"SRY_02" "SRY_02" "SRY_02" "25/779" "148/7293" 0.0133103806026949 0.293814327378005 0.281775308665237 "Nfix/Nrp1/Sgip1/Ccdc92/Prkag1/Lmo4/Mllt3/Tbx6/Nr4a3/Tnfrsf19/Ddx6/Atxn1/Gnaq/Mbnl2/Pik3cg/Myo18a/Zadh2/Arhgap15/Ldb1/Tsc22d3/Dusp6/Tmem50a/Zmym2/Commd3/Klf7" 25
"FOXO3_01" "FOXO3_01" "FOXO3_01" "24/779" "141/7293" 0.0138043919923401 0.293836343836954 0.281796423001529 "Bcl11b/Lag3/Ddit4/Nfix/Tex2/Arid4a/Prkag1/Pde7a/Ntrk3/Il21/Pdcd4/Wipi2/Skap1/Abtb1/Mbnl2/Ttc33/Tpp1/Crebl2/Sumo1/Sox12/Zadh2/Chd2/Tspan4/Hbp1" 24
"RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "48/779" "331/7293" 0.0161995703874668 0.315207001416309 0.302291419585051 "Pus7l/Nrp1/Tbc1d10c/Psip1/Ctsa/Creb3/Lsm12/Acot7/Pik3ap1/Itgb7/Yrdc/Nckap1l/Pkn1/Anp32a/Uxt/Unc13d/Mxd4/Zfand3/Vim/Trpv2/Samsn1/Wipi2/Skap1/Slc16a6/Frmd8/Tax1bp3/Prickle1/Spata6/Pik3cg/St8sia4/Itpr2/Ppp1cc/Nav1/Rac2/Lgals4/Dok2/Sipa1/Cd37/Pdlim2/Chd2/Pprc1/Arhgap30/Slc9a3r1/Csf2/Map4k2/Arhgef4/Etv6/Gngt2" 48
"KTGGYRSGAA_UNKNOWN" "KTGGYRSGAA_UNKNOWN" "KTGGYRSGAA_UNKNOWN" "11/779" "51/7293" 0.0168807417471791 0.315207001416309 0.302291419585051 "Mcm6/Gdi1/Sh3kbp1/Prpf38a/Ddb2/Gnaq/Bcas3/Fyb/Zadh2/Sh3bp1/Mcm3" 11
"E2F_Q4_01" "E2F_Q4_01" "E2F_Q4_01" "25/779" "151/7293" 0.0169022020777034 0.315207001416309 0.302291419585051 "Etv4/Mcm6/Arid4a/Pola2/Uxt/Ppp1r9b/Mat2a/Mcm2/Prpf38a/Prkdc/Tipin/Ddb2/Mcm4/Nasp/Serbp1/Cdc25a/Acbd6/Kpnb1/Ints7/Pprc1/Stx5a/Pcna/Zmym2/Hmga1/Mcm3" 25
"CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "88/779" "665/7293" 0.0169238658478555 0.315207001416309 0.302291419585051 "Slc38a2/Bcl11b/Lrrc59/Hspa4/Aldh6a1/Ctsa/Csk/Rapgef6/Abcb6/Sema7a/Hif1a/Pik3ip1/Napa/Fkbp11/Tceal8/Polr3e/Pkn1/Rmnd1/Ppp1r9b/Rpa1/Mxd4/St6gal1/Pwp2/Nol8/Mat2a/Nr6a1/Mcm2/Nr4a3/Wdr77/Iqgap2/Lef1/Tmem108/Timm9/Akap12/Cyp2d22/Rbm19/Ube2b/Atf4/Ypel5/Hspe1/Fhod1/Bcas3/Lonrf3/Mdn1/Bcl7c/Paics/Serbp1/Fen1/Bax/Dym/Polr3d/Mtap/Slc12a6/Aldh18a1/Jakmip1/Sox12/Zadh2/Dusp7/Cuta/Fpgs/Nol6/Hmox1/Arl2/Fchsd2/Igf1r/Tspan4/Pprc1/Srfbp1/Pes1/Aatf/Ube2cbp/Dyrk1b/Armcx2/Atad3a/Slc7a3/Hexa/Hsdl1/Qtrt1/Zfp593/Ankrd17/Hbp1/Ipo4/Commd3/Nthl1/Hmga1/Ppp1r1b/Cdk5r1/Snx5" 88
"E2F_Q6_01" "E2F_Q6_01" "E2F_Q6_01" "24/779" "148/7293" 0.0239277819975118 0.432150244561123 0.41444292263633 "Etv4/Mcm6/Arid4a/Ppp1r9b/Mat2a/Mcm2/Prpf38a/Prkdc/Tipin/Ddb2/Mcm4/Nasp/Serbp1/Cdc25a/Acbd6/Kpnb1/Ints7/Dusp7/Rbl1/Stx5a/Dusp6/Pcna/Zmym2/Mcm3" 24
"TEL2_Q6" "TEL2_Q6" "TEL2_Q6" "26/779" "164/7293" 0.0250867546958133 0.43975605290308 0.421737083585963 "Mrpl52/Ing4/Snx1/Arrb2/Casp8/E2f5/Vamp8/Rin3/Ppil1/Nasp/Fxyd5/Nr4a2/Furin/Usp3/Prkacb/Trappc1/Arhgap15/Sipa1/Appl2/Foxn3/Chd2/Lime1/Slc9a3r1/Map4k2/Hmga1/Arhgap4" 26
"LBP1_Q6" "LBP1_Q6" "LBP1_Q6" "22/779" "136/7293" 0.030462886856072 0.502132220109082 0.481557392298183 "Ddit4/Sgip1/Tpcn1/Lmo4/Nol9/Selplg/Clip1/Mbnl2/Cdkn1b/Prickle1/Sh3bgrl3/Tmem109/Spata6/Stim1/Bscl2/Ythdf2/Camk2g/Zmym2/Zfp593/Rcsd1/Ssx2ip/Mycbp" 22
"ELK1_01" "ELK1_01" "ELK1_01" "30/779" "199/7293" 0.0318771622012646 0.502132220109082 0.481557392298183 "Tbc1d10c/Mtbp/Itgb7/Nckap1l/Arhgdib/Ppp1ca/Tbx6/Map2k6/Trpc4ap/Egfl7/Enpp1/Mrpl13/Furin/Vcl/Use1/Trappc1/Sipa1/Cd37/Foxn3/Arhgef6/Was/Arhgap30/Stx5a/Elk3/Zfp593/Map4k2/Arhgef4/Rwdd4a/Bcl2l1/Stk10" 30
"E2F1_Q4_01" "E2F1_Q4_01" "E2F1_Q4_01" "23/779" "145/7293" 0.0335157484441252 0.502132220109082 0.481557392298183 "Mcm6/Arid4a/Usp1/Pola2/Uxt/Tbx6/Ppp1r9b/Mat2a/Mcm2/Prkdc/Ddb2/Mcm4/Nasp/Serbp1/Cdc25a/Acbd6/Kpnb1/Ints7/Pprc1/Pcna/Zmym2/Hmga1/Mcm3" 23
"IRF2_01" "IRF2_01" "IRF2_01" "15/779" "85/7293" 0.0341933387177525 0.502132220109082 0.481557392298183 "Slc38a2/Dtx3l/Rapgef6/Usp18/Bst2/Tmem108/Prkd2/Fxyd5/Cxcl10/Otx1/Sipa1/Eif4a2/Hpcal1/Arhgef6/Flt3l" 15
"ATF4_Q2" "ATF4_Q2" "ATF4_Q2" "25/779" "162/7293" 0.0369776296638972 0.502132220109082 0.481557392298183 "Slc38a2/Nfkbid/Lmo4/Polr3e/Pdap1/Nr4a3/Hp1bp3/Psmd12/Mbnl2/Dctn1/Nr4a2/Prickle1/Nupl2/Leprotl1/Itm2b/Stim1/Cdc14b/Tsc22d3/Chd2/Sdhb/Id1/Abcd1/Fosb/Ddx51/Cdk5r1" 25
"E2F1_Q6_01" "E2F1_Q6_01" "E2F1_Q6_01" "25/779" "162/7293" 0.0369776296638972 0.502132220109082 0.481557392298183 "Mcm6/Pola2/Uxt/Tbx6/Mcm2/Prpf38a/Prkdc/Tmem108/Ddb2/Mcm4/Nasp/Fhod1/Enpp1/Serbp1/Cdc25a/Acbd6/Sumo1/Ints7/Rbl1/Pik3cd/Pprc1/Eed/Pcna/Zmym2/Mcm3" 25
"FOXO4_02" "FOXO4_02" "FOXO4_02" "25/779" "162/7293" 0.0369776296638972 0.502132220109082 0.481557392298183 "Nfix/Tex2/Arid4a/Pitpnc1/Pik3ip1/Cox7b/Pde7a/Ntrk3/Pdcd4/Wipi2/Atxn1/Skap1/Nr4a2/Klhl24/Crebl2/Usp3/Sumo1/Zadh2/Ldb1/Taz/Grap2/Chd2/Tspan4/Arl4c/Hbp1" 25
