"gs_name","gene_symbol"
"Gata_Th2","Cst7"
"Gata_Th2","Tgm2"
"Gata_Th2","Lama5"
"Gata_Th2","Il1r2"
"Gata_Th2","Rnf152"
"Gata_Th2","Il24"
"Gata_Th2","Il10"
"Gata_Th2","BC017612"
"Gata_Th2","Cyp11a1"
"Gata_Th2","Stra6"
"Gata_Th2","Myo6"
"Gata_Th2","Ccr1"
"Gata_Th2","Rab20"
"Gata_Th2","Tex15"
"Gata_Th2","Gpt2"
"Stat1","Irf9"
"Stat1","Stat3"
"Stat1","Stat2"
"Stat1","Irgm2"
"Stat1","Rtp4"
"Stat1","Bst2"
"Stat1","Irgm1"
"Stat1","Gm12250"
"Stat1","Zbp1"
"Stat1","Ifi27"
"Stat1","Igtp"
"Stat1","Tap1"
"Stat1","Psmb9"
"Stat1","Gbp6"
"Stat1","Irf1"
"Stat1","Gbp7"
"Stat1","Stat1"
"Stat1","Oasl2"
"Stat1","H2-T24"
"Stat1","Mrpl30"
"Stat1","Mitd1"
"Stat1","Ifi204"
"Stat1","Shisa5"
"Stat1","Ifit3b"
"Stat1","Usp18"
"Stat1","Nfat5"
"Stat1","Csf1"
"Stat1","Tgtp2"
"Stat1","Irf2"
"Stat1","Ifit3"
"Stat1","Parp10"
"Stat1","Oas1c"
"Stat1","Oas1b"
"Stat1","Parp9"
"Stat1","Dtx3l"
"Stat1","Trim34a"
"Stat1","Xaf1"
"Stat1","Irf8"
"Stat1","Sbno2"
"Stat1","Gbp3"
"Stat1","Tmem140"
"Stat1","Parp11"
"Stat1","Il18bp"
"Stat1","Trim30a"
"Stat1","Pml"
"Stat1","B2m"
"Stat1","Trim12c"
"Stat1","Gtf2a2"
"Stat1","Psmd3"
"Stat1","Cd274"
"Stat1","Gm12185"
"Stat1","Tor1aip1"
"Stat1","Lsm4"
"Stat1","Adar"
"Stat1","Gm4951"
"Stat1","Wdr25"
"Stat1","Wars"
"Stat1","Asmt"
"Stat1","Icam1"
"Stat1","Ifit1bl2"
"Stat1","Ifit1"
"Stat1","Cmpk2"
"Stat1","Tmem184b"
"Stat1","Noc4l"
"Stat1","Ddx51"
"Stat1","Trim21"
"Stat1","Rtn2"
"Stat1","Samd9l"
"Stat1","Ogfr"
"Stat1","Daxx"
"Stat1","Trim30d"
"Stat1","Vps28"
"Stat1","Cfap126"
"Stat1","Trim5"
"Stat1","Slfn8"
"Stat1","Clec2d"
"Stat1","Oasl1"
"Stat1","Rrp9"
"Stat1","Parp3"
"Stat1","Nup153"
"Stat1","Irf7"
"Stat1","Oas3"
"Stat1","Ifih1"
"Stat1","Uba7"
"Stat1","Lgals3bp"
"Stat1","Ddx60"
"Stat1","Trim12a"
"Stat1","Cmtr1"
"Stat1","Socs3"
"Stat1","Isg15"
"Stat1","Trappc2l"
"Stat1","Galns"
"Stat1","Elmo2"
"Stat1","Casp8"
"Stat1","Slfn5"
"Stat1","Ifi206"
"Stat1","Ranbp2"
"Stat1","Akt2"
"Stat1","Il18rap"
"Stat1","Stk19"
"Stat1","Dxo"
"Stat1","Nampt"
"Stat1","Cox18"
"Stat1","Gbp10"
"Stat1","Chmp4b"
"Stat1","Tars"
"Stat1","Crem"
"Stat1","Eif2ak2"
"Stat1","Gvin1"
"Stat1","Gm4070"
"Stat1","Trim25"
"Stat1","Gbp9"
"Stat1","Sppl2a"
"Stat1","Ifi208"
"Stat1","Elmod2"
"Stat1","Ifi213"
"Stat1","Ifi35"
"Stat1","Ascc3"
"Stat1","Taf4b"
"Stat1","Zc3hav1"
"Stat1","Skap2"
"Stat1","Lrrc51"
"Stat1","Map4k1"
"Stat1","Eif3k"
"Stat1","Ccdc126"
"Stat1","Cish"
"Stat1","Runx1"
"Stat1","Zfp58"
"Stat1","Furin"
"Stat1","Ankfy1"
"Stat1","Parp14"
"Stat1","Crebrf"
"Stat1","Tent4a"
"Stat1","Socs1"
"Stat1","Cox7a2"
"Stat1","Tgtp1"
"Stat1","Nmi"
"Stat1","Jak3"
"Stat1","Zfp317"
"Stat1","Tapbp"
"Stat1","Sspn"
"Stat1","Fastk"
"Stat1","Hnrnpr"
"Stat1","Cuta"
"Stat1","Nsun4"
"Stat1","Snu13"
"Stat1","Rsrc2"
"Stat1","Kntc1"
"Stat1","Ppme1"
"Stat1","C2cd3"
"Stat1","Zfp429"
"Stat1","Arih1"
"Stat1","Mob3c"
"Stat1","Atg16l1"
"Stat1","Cep128"
"Stat1","Ly6a"
"Stat1","Pih1d1"
"Stat1","Aldh16a1"
"Stat1","Mt1"
"Stat1","Tbc1d13"
"Stat1","Hjurp"
"Stat1","A730008H23Rik"
"Stat1","Cltc"
"Stat1","Aars"
"Stat1","Apobec3"
"Stat1","Plec"
"Stat1","Rps29"
"Stat1","Nipsnap3b"
"Stat1","Man1a"
"Stat1","Rpl22"
"Stat1","Smc6"
"Stat1","Gen1"
"Stat1","Prkce"
"Stat1","C1rl"
"Stat1","Adck1"
"Stat1","Casp4"
"Stat1","Zcwpw2"
"Stat1","Azi2"
"Stat1","Il3ra"
"Stat1","Kri1"
"Stat1","Nsmce1"
"Stat1","Maff"
"Stat1","Sde2"
"Stat1","Rsad2"
"Stat1","Tfpt"
"Stat1","Prpf31"
"Stat1","F830016B08Rik"
"Stat1","Tmem59"
"Stat1","Tceanc2"
"Stat1","Tut1"
"Stat1","Sfi1"
