"gene","deg"
"Suhw2","th1_th2"
"Il4ra","th1_th2"
"Cd164","th1_th2"
"Oas1g","th1_th2"
"Zfp768","th1_th2"
"Ddx60","th1_th2"
"Efna5","th1_th2"
"Batf","th1_th2"
"Lgals3bp","th1_th2"
"Tmem65","th1_th2"
"Oasl1","th1_th2"
"Rab33a","th1_th2"
"Stat1","th1_th2"
"Atp10a","th1_th2"
"Nqo2","th1_th2"
"Dtx3l","th1_th2"
"Rab31","th1_th2"
"Cercam","th1_th2"
"Ifit2","th1_th2"
"Zbtb32","th1_th2"
"Pter","th1_th2"
"Nrp1","th1_th2"
"Vezf1","th1_th2"
"D330045A20Rik","th1_th2"
"Il18rap","th1_th2"
"Ifi202b","th1_th2"
"BC006779","th1_th2"
"Gvin1","th1_th2"
"BC094916","th1_th2"
"Fos","th1_th2"
"Lgals3","th1_th2"
"Nin","th1_th2"
"AI451557","th1_th2"
"Rab6ip1","th1_th2"
"Ptpn12","th1_th2"
"Isg20","th1_th2"
"Trim34","th1_th2"
"Akr1c18","th1_th2"
"Sgk3.1","th1_th2"
"Ecm1","th1_th2"
"Cd80","th1_th2"
"Eif4enif1","th1_th2"
"Ifi202b.1","th1_th2"
"Ifit3","th1_th2"
"Pik3ap1","th1_th2"
"Sema3b","th1_th2"
"Tle6","th1_th2"
"Sdcbp2","th1_th2"
"BC057079","th1_th2"
"Snai3","th1_th2"
"Capsl","th1_th2"
"2510009E07Rik","th1_th2"
"Lrp11","th1_th2"
"Sdcbp2.1","th1_th2"
"Fcrls","th1_th2"
"Morc3","th1_th2"
"4930539E08Rik","th1_th2"
"Cd6.1","th1_th2"
"Emr1","th1_th2"
"Id2","th1_th2"
"Cuedc1","th1_th2"
"Gnpda1","th1_th2"
"Rxra","th1_th2"
"Prdm16.1","th1_th2"
"Pip5k1b","th1_th2"
"Mov10","th1_th2"
"Kcnk10","th1_th2"
"Mllt3.1","th1_th2"
"Sp100","th1_th2"
"Spp1","th1_th2"
"Mxra8","th1_th2"
"Syngr1.1","th1_th2"
"P2ry14","th1_th2"
"Ccr5","th1_th2"
"Il4","th1_th2"
"Stra6","th1_th2"
"Parp12","th1_th2"
"Phf11","th1_th2"
"Akr1b3","th1_th2"
"Cd70","th1_th2"
"Sypl","th1_th2"
"BC038156","th1_th2"
"Ldhd","th1_th2"
"Ntrk3.1","th1_th2"
"D330045A20Rik.1","th1_th2"
"D030074E01Rik","th1_th2"
"Rnf213","th1_th2"
"Ch25h","th1_th2"
"D10Bwg1379e","th1_th2"
"Ctsw","th1_th2"
"Tlr7","th1_th2"
"Cd86.1","th1_th2"
"Usp18","th1_th2"
"Ly9","th1_th2"
"Mapre2","th1_th2"
"Zbp1.1","th1_th2"
"Ly6a","th1_th2"
"BC094916.1","th1_th2"
"Gbp3.1","th1_th2"
"Itpr1","th1_th2"
"Ecm1.1","th1_th2"
"Dnalc1","th1_th2"
"Atp8b4","th1_th2"
"Mov10.1","th1_th2"
"Nuak2","th1_th2"
"Ccr5.1","th1_th2"
"Casp6","th1_th2"
"Marcks","th1_th2"
"Anxa9","th1_th2"
"Nts","th1_th2"
"Foxq1","th1_th2"
"Sdcbp2.2","th1_th2"
"Matk.1","th1_th2"
"Casp1","th1_th2"
"Gsdmdc1.1","th1_th2"
"Pde6d.2","th1_th2"
"Epm2aip1.3","th1_th2"
"Atg2a.1","th1_th2"
"Sln","th1_th2"
"Cd79b","th1_th2"
"Cd79b.1","th1_th2"
"Sypl.1","th1_th2"
"Bst2","th1_th2"
"Mitd1","th1_th2"
"Rabgap1l.1","th1_th2"
"Ptprk","th1_th2"
"Ccr5.2","th1_th2"
"Ppp3ca","th1_th2"
"Tmem38b","th1_th2"
"Wipi2","th1_th2"
"Iigp2","th1_th2"
"Shh","th1_th2"
"Rapgef5","th1_th2"
"Fgl2","th1_th2"
"Nat5","th1_th2"
"Fhl2","th1_th2"
"Tec","th1_th2"
"Mgll","th1_th2"
"Timd2","th1_th2"
"Actr3b","th1_th2"
"Tspan6","th1_th2"
"Pigh.1","th1_th2"
"Rai14.1","th1_th2"
"Clec2e","th1_th2"
"Gypc","th1_th2"
"Ddx58","th1_th2"
"Cd1d1","th1_th2"
"EG240327","th1_th2"
"Lrch1.1","th1_th2"
"Myl4","th1_th2"
"Nod1","th1_th2"
"Soat1","th1_th2"
"Odf2.1","th1_th2"
"Gnaq.2","th1_th2"
"Dmwd.1","th1_th2"
"Prm1","th1_th2"
"Ddx26b","th1_th2"
"Gnpda1.1","th1_th2"
"Fcer2a","th1_th2"
"Rtp4","th1_th2"
"D14Ertd668e.1","th1_th2"
"Phkg2","th1_th2"
"Cd86.2","th1_th2"
"Ifng","th1_th2"
"Asb2","th1_th2"
"Rhobtb1","th1_th2"
"Nat5.1","th1_th2"
"Inpp4b","th1_th2"
"Parp14","th1_th2"
"Fmnl3.1","th1_th2"
"Dhdh.1","th1_th2"
"Oas2","th1_th2"
"Irf9","th1_th2"
"Stc1","th1_th2"
"Nelf.1","th1_th2"
"Ttc27","th1_th2"
"Pla2g4f","th1_th2"
"Rap1b","th1_th2"
"Dnalc1.1","th1_th2"
"Ms4a6d.1","th1_th2"
"5730469M10Rik","th1_th2"
"Tdrd7","th1_th2"
"Samhd1","th1_th2"
"Kbtbd7.2","th1_th2"
"Mx1","th1_th2"
"Snx25.1","th1_th2"
"Polr2d.1","th1_th2"
"Cox7a1","th1_th2"
"2810474O19Rik","th1_th2"
"Dgcr6.1","th1_th2"
"Rapsn","th1_th2"
"Actr3b.1","th1_th2"
"Apbb1ip","th1_th2"
"Map2k6.1","th1_th2"
"Trafd1","th1_th2"
"Smpdl3b","th1_th2"
"Cox4nb","th1_th2"
"Matk.2","th1_th2"
"Prm1.1","th1_th2"
"Pik3cg","th1_th2"
"Snx10","th1_th2"
"H2-DMb2","th1_th2"
"Rasgrp4.1","th1_th2"
"Ociad2","th1_th2"
"Rrm2b.1","th1_th2"
"Zbtb32.1","th1_th2"
"Ncf1","th1_th2"
"l7Rn6","th1_th2"
"Slfn1","th1_th2"
"Ms4a6b","th1_th2"
"Cdc42se1.1","th1_th2"
"Sytl2","th1_th2"
"Trafd1.1","th1_th2"
"Scin","th1_th2"
"Cox5b","th1_th2"
"Fmnl3.2","th1_th2"
"Sla2","th1_th2"
"Furin","th1_th2"
"Zzz3.1","th1_th2"
"Ifitm3","th1_th2"
"H28","th1_th2"
"Tgfbr1.1","th1_th2"
"Amica1","th1_th2"
"Tgtp","th1_th2"
"Oas1g.3","th1_th2"
"Myo6.1","th1_th2"
"H2-T23.1","th1_th2"
"Nkg7","th1_th2"
"Hsd11b1.1","th1_th2"
"Sco1","th1_th2"
"Adora3.1","th1_th2"
"Asb13.1","th1_th2"
"Folr4","th1_th2"
"Ifi35","th1_th2"
"Slfn2","th1_th2"
"St3gal6","th1_th2"
"Myst4.1","th1_th2"
"2310004I24Rik","th1_th2"
"Pkp2.2","th1_th2"
"Tmem159.1","th1_th2"
"Tmem45a.2","th1_th2"
"Ptger2.1","th1_th2"
"Rexo2","th1_th2"
"Ifi203","th1_th2"
"5730469M10Rik.1","th1_th2"
"Trim34.1","th1_th2"
"Bbs12","th1_th2"
"Rbpj.1","th1_th2"
"AI451617","th1_th2"
"Casp6.1","th1_th2"
"Tap2","th1_th2"
"Znfx1","th1_th2"
"Id2.1","th1_th2"
"Enox2","th1_th2"
"Dusp7","th1_th2"
"Serpina3f","th1_th2"
"Fscn1","th1_th2"
"R3hdm1.1","th1_th2"
"Tmem38b.1","th1_th2"
"D330045A20Rik.2","th1_th2"
"Armcx3","th1_th2"
"Usp18.1","th1_th2"
"EG630499.1","th1_th2"
"Edn1","th1_th2"
"Ntrk3.2","th1_th2"
"Pros1","th1_th2"
"Hipk2","th1_th2"
"Car5b.1","th1_th2"
"Oasl1.2","th1_th2"
"Oasl2","th1_th2"
"Trp53bp2","th1_th2"
"Hopx","th1_th2"
"Prr15","th1_th2"
"Cd44.5","th1_th2"
"2410091C18Rik.1","th1_th2"
"Ifih1","th1_th2"
"Muc13","th1_th2"
"Epsti1.2","th1_th2"
"Gpr114","th1_th2"
"C030048B08Rik","th1_th2"
"Klrd1","th1_th2"
"Oas3","th1_th2"
"B930041F14Rik","th1_th2"
"Atp10d","th1_th2"
"H2-DMb1","th1_th2"
"Prdx5.1","th1_th2"
"Insig1.2","th1_th2"
"Selenbp2","th1_th2"
"Lif.1","th1_th2"
"Btk","th1_th2"
"Anp32e","th1_th2"
"Ube1l","th1_th2"
"Ccrl2","th1_th2"
"1500019G21Rik","th1_th2"
"Armcx6.1","th1_th2"
"4631427C17Rik","th1_th2"
"C730027P07Rik","th1_th2"
"Ifit2.1","th1_th2"
"Tiam1","th1_th2"
"Mgll.1","th1_th2"
"Insig1.3","th1_th2"
"Niban","th1_th2"
"Xdh","th1_th2"
"St3gal1","th1_th2"
"Igfbp7.1","th1_th2"
"Sod1","th1_th2"
"Gbp6","th1_th2"
"Ube2f.1","th1_th2"
"Fes","th1_th2"
"St3gal1.1","th1_th2"
"Enpp4","th1_th2"
"Oas1b","th1_th2"
"Ly6c1","th1_th2"
"Gldc","th1_th2"
"Rsad2","th1_th2"
"Wdr78","th1_th2"
"LOC625360","th1_th2"
"Trim21","th1_th2"
"Mtap6.2","th1_th2"
"Gpr65","th1_th2"
"A630077B13Rik","th1_th2"
"Gbp1","th1_th2"
"Entpd4.1","th1_th2"
"Spsb1","th1_th2"
"Spcs3.1","th1_th2"
"Pld4","th1_th2"
"Dhx58","th1_th2"
"Aqp9","th1_th2"
"Cxcr3","th1_th2"
"Mef2c.2","th1_th2"
"Irgm","th1_th2"
"Plac8","th1_th2"
"Jdp2","th1_th2"
"Tap1","th1_th2"
"Sema4b","th1_th2"
"Plcxd1.2","th1_th2"
"Gata3","th1_th2"
"Ube2q2.2","th1_th2"
"Gbp5","th1_th2"
"Gnaz","th1_th2"
"Ube2f.2","th1_th2"
"Gm885","th1_th2"
"Folr4.2","th1_th2"
"Pim2.1","th1_th2"
"Msr2","th1_th2"
"Rbm43","th1_th2"
"Klk8","th1_th2"
"Id1","th1_th2"
"Nat5.2","th1_th2"
"Stat2","th1_th2"
"Cyp2s1","th1_th2"
"Sp100.1","th1_th2"
"Hsh2d","th1_th2"
"Ifng.1","th1_th2"
"Igtp","th1_th2"
"Endod1","th1_th2"
"Ltbp1.4","th1_th2"
"1110067D22Rik","th1_th2"
"Tarbp2.1","th1_th2"
"Dhx58.1","th1_th2"
"Gbp6.1","th1_th2"
"Ube2l6","th1_th2"
"Trex1.1","th1_th2"
"Pparg.2","th1_th2"
"Dusp14","th1_th2"
"Pon2","th1_th2"
"Tha1","th1_th2"
"Ppp3ca.2","th1_th2"
"Tapbpl.2","th1_th2"
"Ripk3","th1_th2"
"Zc3h12d","th1_th2"
"Antxr2","th1_th2"
"Smtnl2","th1_th2"
"Smpdl3a","th1_th2"
"Irf9.1","th1_th2"
"Csprs","th1_th2"
"Ffar2","th1_th2"
"Lrrk1.1","th1_th2"
"Inpp5a.1","th1_th2"
"P2ry14.2","th1_th2"
"Klrk1.3","th1_th2"
"H2-T10.1","th1_th2"
"Irf7","th1_th2"
"Il12rb2","th1_th2"
"Phf11.2","th1_th2"
"Mgll.2","th1_th2"
"Evi2a.1","th1_th2"
"Sdc3","th1_th2"
"LOC435565","th1_th2"
"Clpx","th1_th2"
"Tnfsf13b","th1_th2"
"Adh4","th1_th2"
"Slc17a6","th1_th2"
"Rasa1","th1_th2"
"Nrp1.1","th1_th2"
"H2-Q7","th1_th2"
"Stambpl1","th1_th2"
"Tspan6.1","th1_th2"
"Pkp4.3","th1_th2"
"C030048B08Rik.1","th1_th2"
"Dbndd2.2","th1_th2"
"Furin.2","th1_th2"
"Cetn4.1","th1_th2"
"Gramd3.1","th1_th2"
"Trim26","th1_th2"
"H2-Q5.2","th1_th2"
"Fhit","th1_th2"
"Btla","th1_th2"
"Gbp5.1","th1_th2"
"Gpr83","th1_th2"
"H2-DMb2.1","th1_th2"
"Oasl2.1","th1_th2"
"Aff4","th1_th2"
"Phldb1.3","th1_th2"
"H2-T23.2","th1_th2"
"Etv6","th1_th2"
"Car5b.2","th1_th2"
"2010001M09Rik","th1_th2"
"Tal2","th1_th2"
"2310022B05Rik","th1_th2"
"Sco1.1","th1_th2"
"R74862","th1_th2"
"Ifit3.1","th1_th2"
"9930111J21Rik","th1_th2"
"Gsdmdc1.2","th1_th2"
"Mtap6.3","th1_th2"
"2510009E07Rik.2","th1_th2"
"Bzrap1","th1_th2"
"Il18r1","th1_th2"
"2210012G02Rik.2","th1_th2"
"Eomes","th1_th2"
"Mboat2.3","th1_th2"
"Il11ra1","th1_thmix"
"Mcl1","th1_thmix"
"Ticam2","th1_thmix"
"Cd86","th1_thmix"
"Adar","th1_thmix"
"Suhw2","th1_thmix"
"Il4ra","th1_thmix"
"Cd164","th1_thmix"
"Oas1g","th1_thmix"
"Zfp768","th1_thmix"
"Ddx60","th1_thmix"
"Efna5","th1_thmix"
"Batf","th1_thmix"
"Ltb","th1_thmix"
"Lgals3bp","th1_thmix"
"Tmem65","th1_thmix"
"Oasl1","th1_thmix"
"Rab33a","th1_thmix"
"Atp10a","th1_thmix"
"Nqo2","th1_thmix"
"Cercam","th1_thmix"
"Ifit2","th1_thmix"
"Zbtb32","th1_thmix"
"Nrp1","th1_thmix"
"Plcl2","th1_thmix"
"D330045A20Rik","th1_thmix"
"Il18rap","th1_thmix"
"Ifi202b","th1_thmix"
"BC006779","th1_thmix"
"Gvin1","th1_thmix"
"BC094916","th1_thmix"
"Lgals3","th1_thmix"
"Nin","th1_thmix"
"Flcn","th1_thmix"
"Rab6ip1","th1_thmix"
"Ptpn12","th1_thmix"
"Isg20","th1_thmix"
"Rbms1","th1_thmix"
"Trim34","th1_thmix"
"Akr1c18","th1_thmix"
"Sgk3.1","th1_thmix"
"Ecm1","th1_thmix"
"Cd80","th1_thmix"
"Ifi202b.1","th1_thmix"
"Ifit3","th1_thmix"
"Pik3ap1","th1_thmix"
"Tle6","th1_thmix"
"Sdcbp2","th1_thmix"
"BC057079","th1_thmix"
"Snai3","th1_thmix"
"2510009E07Rik","th1_thmix"
"Fcrls","th1_thmix"
"Morc3","th1_thmix"
"Pde6d.1","th1_thmix"
"Cd6.1","th1_thmix"
"Emr1","th1_thmix"
"Id2","th1_thmix"
"Serpina3g","th1_thmix"
"Gnpda1","th1_thmix"
"Pip5k1b","th1_thmix"
"Mov10","th1_thmix"
"Apobec1","th1_thmix"
"Spint2","th1_thmix"
"Sp100","th1_thmix"
"Mxra8","th1_thmix"
"P2ry14","th1_thmix"
"Il4","th1_thmix"
"Parp12","th1_thmix"
"Phf11","th1_thmix"
"Akr1b3","th1_thmix"
"Sypl","th1_thmix"
"Ldhd","th1_thmix"
"Ccdc88c.1","th1_thmix"
"Ntrk3.1","th1_thmix"
"D330045A20Rik.1","th1_thmix"
"D030074E01Rik","th1_thmix"
"H1fx","th1_thmix"
"Rnf213","th1_thmix"
"D10Bwg1379e","th1_thmix"
"Ctsw","th1_thmix"
"Tlr7","th1_thmix"
"Cd86.1","th1_thmix"
"Usp18","th1_thmix"
"Ly9","th1_thmix"
"Mapre2","th1_thmix"
"Zbp1.1","th1_thmix"
"BC094916.1","th1_thmix"
"Gbp3.1","th1_thmix"
"Ecm1.1","th1_thmix"
"Atp8b4","th1_thmix"
"Mov10.1","th1_thmix"
"Casp6","th1_thmix"
"Marcks","th1_thmix"
"Anxa9","th1_thmix"
"Nts","th1_thmix"
"Foxq1","th1_thmix"
"Cdk6","th1_thmix"
"Matk.1","th1_thmix"
"Casp1","th1_thmix"
"Atg2a.1","th1_thmix"
"Sln","th1_thmix"
"Sypl.1","th1_thmix"
"Bst2","th1_thmix"
"Mitd1","th1_thmix"
"Rabgap1l.1","th1_thmix"
"Ccr5.2","th1_thmix"
"Tmem38b","th1_thmix"
"Shh","th1_thmix"
"Rapgef5","th1_thmix"
"Gnas.2","th1_thmix"
"Fgl2","th1_thmix"
"Ddc","th1_thmix"
"Nat5","th1_thmix"
"Fhl2","th1_thmix"
"Tec","th1_thmix"
"Mgll","th1_thmix"
"Timd2","th1_thmix"
"Itga3","th1_thmix"
"Tspan6","th1_thmix"
"Psmb9","th1_thmix"
"Clec2e","th1_thmix"
"Gypc","th1_thmix"
"Ddx58","th1_thmix"
"Lrch1.1","th1_thmix"
"Nod1","th1_thmix"
"Soat1","th1_thmix"
"Odf2.1","th1_thmix"
"Nampt.1","th1_thmix"
"Gnpda1.1","th1_thmix"
"Rtp4","th1_thmix"
"D14Ertd668e.1","th1_thmix"
"Cd86.2","th1_thmix"
"Ifng","th1_thmix"
"Asb2","th1_thmix"
"Nat5.1","th1_thmix"
"Il17ra","th1_thmix"
"Fmnl3.1","th1_thmix"
"Dhdh.1","th1_thmix"
"Oas2","th1_thmix"
"Irf9","th1_thmix"
"Nol3.1","th1_thmix"
"Slc16a6","th1_thmix"
"Pla2g4f","th1_thmix"
"Dnalc1.1","th1_thmix"
"Ms4a6d.1","th1_thmix"
"5730469M10Rik","th1_thmix"
"Tdrd7","th1_thmix"
"Prickle1","th1_thmix"
"Kbtbd7.2","th1_thmix"
"Mx1","th1_thmix"
"Cox7a1","th1_thmix"
"Rapsn","th1_thmix"
"Ext1","th1_thmix"
"Apbb1ip","th1_thmix"
"Smpdl3b","th1_thmix"
"Matk.2","th1_thmix"
"Snx10","th1_thmix"
"Rasgrp4.1","th1_thmix"
"Ociad2","th1_thmix"
"Tspan31","th1_thmix"
"l7Rn6","th1_thmix"
"Slfn1","th1_thmix"
"Ms4a6b","th1_thmix"
"Nt5e","th1_thmix"
"Cdc42se1.1","th1_thmix"
"Scin","th1_thmix"
"H28","th1_thmix"
"Tgfbr1.1","th1_thmix"
"Amica1","th1_thmix"
"Oas1g.3","th1_thmix"
"Pet112l.1","th1_thmix"
"Myo6.1","th1_thmix"
"Nkg7","th1_thmix"
"Sco1","th1_thmix"
"Adora3.1","th1_thmix"
"Ifi35","th1_thmix"
"Upp1.2","th1_thmix"
"Slfn2","th1_thmix"
"Nt5e.1","th1_thmix"
"2310004I24Rik","th1_thmix"
"Tmem159.1","th1_thmix"
"Ptger2.1","th1_thmix"
"Rexo2","th1_thmix"
"Ifi203","th1_thmix"
"Uba1","th1_thmix"
"5730469M10Rik.1","th1_thmix"
"Trim34.1","th1_thmix"
"Casp4.1","th1_thmix"
"9130404D14Rik","th1_thmix"
"Axin1.1","th1_thmix"
"AI451617","th1_thmix"
"Casp6.1","th1_thmix"
"Wdr92","th1_thmix"
"Znfx1","th1_thmix"
"Dusp7","th1_thmix"
"Serpina3f","th1_thmix"
"Fscn1","th1_thmix"
"R3hdm1.1","th1_thmix"
"Tmem38b.1","th1_thmix"
"D330045A20Rik.2","th1_thmix"
"Armcx3","th1_thmix"
"Usp18.1","th1_thmix"
"Edn1","th1_thmix"
"Ntrk3.2","th1_thmix"
"Pros1","th1_thmix"
"Exosc8","th1_thmix"
"Gipr","th1_thmix"
"Hipk2","th1_thmix"
"Car5b.1","th1_thmix"
"Oasl1.2","th1_thmix"
"Oasl2","th1_thmix"
"Hopx","th1_thmix"
"Prr15","th1_thmix"
"Nav1.1","th1_thmix"
"Ifih1","th1_thmix"
"Muc13","th1_thmix"
"C030048B08Rik","th1_thmix"
"Klrd1","th1_thmix"
"Prdx5.1","th1_thmix"
"Selenbp2","th1_thmix"
"Lif.1","th1_thmix"
"Nrn1","th1_thmix"
"Armcx6.1","th1_thmix"
"C730027P07Rik","th1_thmix"
"Ifit2.1","th1_thmix"
"Tiam1","th1_thmix"
"Mgll.1","th1_thmix"
"Niban","th1_thmix"
"1200015F23Rik.1","th1_thmix"
"St3gal1","th1_thmix"
"Igfbp7.1","th1_thmix"
"Sod1","th1_thmix"
"Gbp6","th1_thmix"
"St3gal1.1","th1_thmix"
"Enpp4","th1_thmix"
"Oas1b","th1_thmix"
"Gldc","th1_thmix"
"Rsad2","th1_thmix"
"LOC625360","th1_thmix"
"Trim21","th1_thmix"
"Mtap6.2","th1_thmix"
"Gpr65","th1_thmix"
"Gbp1","th1_thmix"
"Entpd4.1","th1_thmix"
"Spsb1","th1_thmix"
"Spcs3.1","th1_thmix"
"Pld4","th1_thmix"
"Aqp9","th1_thmix"
"Mef2c.2","th1_thmix"
"Irgm","th1_thmix"
"Jdp2","th1_thmix"
"Sema4b","th1_thmix"
"Gata3","th1_thmix"
"Ube2q2.2","th1_thmix"
"Serpinb6a","th1_thmix"
"Gm885","th1_thmix"
"Pim2.1","th1_thmix"
"Msr2","th1_thmix"
"Klk8","th1_thmix"
"Id1","th1_thmix"
"Nat5.2","th1_thmix"
"Sp100.1","th1_thmix"
"Hsh2d","th1_thmix"
"Ifng.1","th1_thmix"
"Endod1","th1_thmix"
"Ltbp1.4","th1_thmix"
"1110067D22Rik","th1_thmix"
"Tarbp2.1","th1_thmix"
"Gbp6.1","th1_thmix"
"Ube2l6","th1_thmix"
"Trex1.1","th1_thmix"
"Pparg.2","th1_thmix"
"Dusp14","th1_thmix"
"Pon2","th1_thmix"
"Ripk3","th1_thmix"
"Smtnl2","th1_thmix"
"Csprs","th1_thmix"
"Inpp5a.1","th1_thmix"
"P2ry14.2","th1_thmix"
"Klrk1.3","th1_thmix"
"H2-T10.1","th1_thmix"
"Irf7","th1_thmix"
"Ccdc109b","th1_thmix"
"Phf11.2","th1_thmix"
"Mgll.2","th1_thmix"
"Evi2a.1","th1_thmix"
"LOC435565","th1_thmix"
"Clpx","th1_thmix"
"Adh4","th1_thmix"
"Snupn","th1_thmix"
"Slc17a6","th1_thmix"
"Rasa1","th1_thmix"
"Nrp1.1","th1_thmix"
"Stambpl1","th1_thmix"
"Tspan6.1","th1_thmix"
"Pkp4.3","th1_thmix"
"C030048B08Rik.1","th1_thmix"
"Dbndd2.2","th1_thmix"
"Kndc1.3","th1_thmix"
"Gramd3.1","th1_thmix"
"Fhit","th1_thmix"
"Btla","th1_thmix"
"Gbp5.1","th1_thmix"
"Oasl2.1","th1_thmix"
"Loh11cr2a","th1_thmix"
"2010001M09Rik","th1_thmix"
"Tal2","th1_thmix"
"2310022B05Rik","th1_thmix"
"Sco1.1","th1_thmix"
"Slc2a6","th1_thmix"
"R74862","th1_thmix"
"Ifit3.1","th1_thmix"
"9930111J21Rik","th1_thmix"
"Gsdmdc1.2","th1_thmix"
"Mtap6.3","th1_thmix"
"2510009E07Rik.2","th1_thmix"
"Gm885.1","th1_thmix"
"Il18r1","th1_thmix"
"Eomes","th1_thmix"
"Mboat2.3","th1_thmix"
"Armcx6","th2_th0"
"Trim25","th2_th0"
"Ehd3","th2_th0"
"2210412D01Rik","th2_th0"
"Il11ra1","th2_th0"
"Cd86","th2_th0"
"Adar","th2_th0"
"Cd96","th2_th0"
"Suhw2","th2_th0"
"Adh1","th2_th0"
"Il4ra","th2_th0"
"Adamtsl4","th2_th0"
"Cd164","th2_th0"
"Oas1g","th2_th0"
"Fut7","th2_th0"
"Zfp768","th2_th0"
"Arsb","th2_th0"
"Ddx60","th2_th0"
"Efna5","th2_th0"
"Ing4","th2_th0"
"Batf","th2_th0"
"Fzr1","th2_th0"
"Lgals3bp","th2_th0"
"Oasl1","th2_th0"
"Stat1","th2_th0"
"Atp10a","th2_th0"
"Nqo2","th2_th0"
"Dtx3l","th2_th0"
"Rab31","th2_th0"
"Rasl11b.1","th2_th0"
"Ifit2","th2_th0"
"Zbtb32","th2_th0"
"Pter","th2_th0"
"Plcl2","th2_th0"
"D330045A20Rik","th2_th0"
"Il18rap","th2_th0"
"Ifi202b","th2_th0"
"BC006779","th2_th0"
"Gvin1","th2_th0"
"BC094916","th2_th0"
"Thex1","th2_th0"
"Nin","th2_th0"
"AI451557","th2_th0"
"Ptpn12","th2_th0"
"Isg20","th2_th0"
"Trim34","th2_th0"
"Sgk3.1","th2_th0"
"Dmwd","th2_th0"
"Cd80","th2_th0"
"Ifi202b.1","th2_th0"
"Ifit3","th2_th0"
"Pik3ap1","th2_th0"
"Tle6","th2_th0"
"Trat1","th2_th0"
"Sdcbp2","th2_th0"
"Lilrb4.1","th2_th0"
"BC057079","th2_th0"
"Snai3","th2_th0"
"2510009E07Rik","th2_th0"
"Lrp11","th2_th0"
"Sdcbp2.1","th2_th0"
"Fcrls","th2_th0"
"Morc3","th2_th0"
"Ppt1","th2_th0"
"4930539E08Rik","th2_th0"
"Ccr6","th2_th0"
"Emr1","th2_th0"
"Id2","th2_th0"
"Gnpda1","th2_th0"
"Copz2.1","th2_th0"
"Pip5k1b","th2_th0"
"Mov10","th2_th0"
"Kcnk10","th2_th0"
"Apobec1","th2_th0"
"Mllt3.1","th2_th0"
"Sp100","th2_th0"
"Mxra8","th2_th0"
"P2ry14","th2_th0"
"Ccr5","th2_th0"
