"gene","Th1","Th2","category","model"
"Btk",0.173087784694394,0.935462850711447,"Th2like","Th1/2"
"Btla",0.0493067843960762,0.967654395752562,"Th2like","Th1/2"
"Bzrap1",0.663190577316182,0.42597551114241,"Superpos","Th1/2"
"Bzw2",0.339971279860804,0.659802398803272,"Th2like","Th1/2"
"C030048B08Rik",0.222728976617999,0.659190433436009,"Th2like","Th1/2"
"C030048B08Rik.1",0.304034949029094,0.676971850535396,"Ind","Th1/2"
"C1qdc2",0.207583935704224,0.723493164834769,"Th2like","Th1/2"
"C730027P07Rik",-1.95553062574544,0.833293334007359,"Th2like","Th1/2"
"Capsl",0.226556004231464,0.891741640668641,"Th2like","Th1/2"
"Car11",0.92422346599609,-0.00693752641444782,"Th1like","Th1/2"
"Car13",0.0102245524649133,1.05210674299706,"Th2like","Th1/2"
"Car5b",0.179743092746867,0.306996920934116,"Ind","Th1/2"
"Car5b.1",0.0526828150920393,0.332992005641988,"Th2like","Th1/2"
"Car5b.2",0.19342985586177,0.32902979345162,"Superpos","Th1/2"
"Casp1",0.480719857618829,0.733087703188607,"Superpos","Th1/2"
"Casp3",-0.0661265375115262,0.67936274797261,"Ind","Th1/2"
"Casp4.1",-0.284537785149557,1.92946217506622,"Th2like","Th1/2"
"Casp6",0.0499507954743937,1.28921495010493,"Th2like","Th1/2"
"Casp6.1",-0.100753607538413,1.43633322121955,"Th2like","Th1/2"
"Ccdc18.1",-0.0680682246829382,0.919964766509994,"Th2like","Th1/2"
"Ccdc28b",-0.379098252724037,0.700976415073239,"Th2like","Th1/2"
"Ccdc28b.1",0.112806802663187,0.436455977158118,"Ind","Th1/2"
"Ccdc50",0.141747847520821,0.728460894421144,"Ind","Th1/2"
"Ccdc50.1",-0.0805783566236955,0.922565036546919,"Th2like","Th1/2"
"Ccl3",0.0635604367042182,1.01542427821371,"Th2like","Th1/2"
"Ccl4.1",0.093097478209733,0.945146825531661,"Th2like","Th1/2"
"Ccl5",0.29396916604806,0.722604486162149,"Th2like","Th1/2"
"Ccr5",0.291251068977439,0.328682534157935,"Th1like","Th1/2"
"Ccr5.1",0.351332501610638,0.951380510183443,"Superpos","Th1/2"
"Ccr5.2",0.405294862263943,0.783239189253095,"Superpos","Th1/2"
"Ccrl2",0.126189405621616,0.691372373503699,"Th2like","Th1/2"
"Cd164",0.200462055458991,0.779518976513064,"Th2like","Th1/2"
"Cd1d1",0.442879252710359,0.679274075641118,"Superpos","Th1/2"
"Cd27",0.525368239232684,0.432074646277836,"Superpos","Th1/2"
"Cd27.1",0.699450469462537,0.224148939165554,"Ind","Th1/2"
"Cd27.2",0.585940238931066,0.339508520635338,"Superpos","Th1/2"
"Cd44.5",0.936983792402015,0.211588088737095,"Ind","Th1/2"
"Cd6.1",0.0246787061924182,0.6609818408994,"Th2like","Th1/2"
"Cd70",0.264018146007835,0.396190019656527,"Ind","Th1/2"
"Cd74",0.498334754960234,0.462033637895419,"Ind","Th1/2"
"Cd74.2",0.458769696839535,0.490606356964486,"Ind","Th1/2"
"Cd79b",0.662517340255919,0.221160018796268,"Ind","Th1/2"
"Cd79b.1",0.590451542665652,0.297095241137132,"Ind","Th1/2"
"Cd80",0.102694291278312,0.799330639509645,"Th2like","Th1/2"
"Cd86",-0.0751251852583382,1.0196566844204,"Th2like","Th1/2"
"Cd86.1",0.0202643860791591,1.02335428385316,"Th2like","Th1/2"
"Cd86.2",0.0352261433126792,0.956782072031218,"Th2like","Th1/2"
"Cdc42se1.1",0.283760632453952,0.819553587191841,"Th2like","Th1/2"
"Cdk6",-0.128442628211648,1.07971938945792,"Th2like","Th1/2"
"Cenpf",-0.31458575923035,1.09457849744712,"Th2like","Th1/2"
"Cep72",0.0771461116251916,0.767738019846519,"Th2like","Th1/2"
"Cercam",0.174779322309183,0.789554645713306,"Th2like","Th1/2"
"Cetn4.1",0.226995690152846,0.780638832526386,"Th2like","Th1/2"
"Ch25h",1.06089218313274,0.113886690260868,"Th1like","Th1/2"
"Chkb",0.426842455104756,0.575504905991704,"Ind","Th1/2"
"Chkb.1",0.569202524357879,0.407566818167784,"Th2like","Th1/2"
"Ckmt1",0.534360510960019,0.619423709162332,"Ind","Th1/2"
"Clcnkb",0.368040510733753,0.722055940704581,"Superpos","Th1/2"
"Clec2e",0.252201673549199,0.586511700744191,"Th2like","Th1/2"
"Clpx",-0.778083026988493,1.3473135138159,"Th2like","Th1/2"
"Cox17",0.323352002735577,0.43685159730841,"Ind","Th1/2"
"Cox4nb",0.610274712319812,0.489479645463857,"Th2like","Th1/2"
"Cox5b",0.66894779337863,0.157723744507868,"Ind","Th1/2"
"Cox6b2.1",1.03875870293705,0.433947723229383,"Superpos","Th1/2"
"Cox7a1",0.148500944767818,0.752830829852041,"Th2like","Th1/2"
"Cpne6",1.04428989877381,0.569800760255831,"Th2like","Th1/2"
"Crabp2",-0.233040592686907,1.18498732075723,"Th2like","Th1/2"
"Cryz",0.76978258789927,0.359575949924488,"Superpos","Th1/2"
"Cryz.1",0.275464175505111,0.664749368687134,"Th2like","Th1/2"
"Csnk1g2.2",0.245472859894054,0.691814930895714,"Th2like","Th1/2"
"Csprs",0.208342401688718,0.623261622561315,"Superpos","Th1/2"
"Cst7",-0.226440961396559,1.25291424017696,"Th2like","Th1/2"
"Ctso",0.292484593268218,0.760063617995829,"Th2like","Th1/2"
"Ctsw",0.471748993087784,0.471375703577406,"Superpos","Th1/2"
"Cuedc1",0.646087753190124,0.488592787871534,"Th2like","Th1/2"
"Cul7",0.49794856303884,0.503831718959978,"Ind","Th1/2"
"Cuzd1",1.68246286044819,0.24898052014323,"Ind","Th1/2"
"Cxcr3",0.710221004611559,-0.069250007597278,"Th1like","Th1/2"
"Cyb5",0.536628929770593,0.491618928458518,"Ind","Th1/2"
"Cyb5.1",0.172319995284805,0.769579999792054,"Th2like","Th1/2"
"Cyp11a1",0.967632863065266,0.809375343913885,"Th2like","Th1/2"
"Cyp2s1",0.341846164460116,0.622345682952419,"Th2like","Th1/2"
"D030074E01Rik",0.10314845896556,0.939123619744545,"Th2like","Th1/2"
"D0H4S114",0.0252264644373791,0.451244972791232,"Ind","Th1/2"
"D10Bwg1379e",-0.413016812592367,0.945033423988576,"Th2like","Th1/2"
"D10Ertd610e",0.273560913767712,0.897432126781726,"Th2like","Th1/2"
"D12Ertd553e",0.272165176542188,0.745776003202736,"Th2like","Th1/2"
"D14Ertd668e.1",-0.00159195105694997,0.888100981888163,"Th2like","Th1/2"
"D330045A20Rik",-0.313155327452279,0.533441266878305,"Th2like","Th1/2"
"D330045A20Rik.1",0.233877763717953,0.550199374218148,"Th2like","Th1/2"
"D330045A20Rik.2",0.801263278868702,0.477270802226206,"Th2like","Th1/2"
"Dapk2.1",0.432892738397496,0.827544291698934,"Superpos","Th1/2"
"Dbndd2.2",0.0187950187474084,0.805191809414367,"Th2like","Th1/2"
"Dcxr",0.846528362062232,0.290392402272103,"Ind","Th1/2"
"Dcxr.1",0.650604194812706,0.551255582375271,"Ind","Th1/2"
"Ddc",-0.0528307143453092,0.354690474153093,"Th2like","Th1/2"
"Ddx26b",0.461537245986634,0.338639316086038,"Th1like","Th1/2"
"Ddx58",0.29306463851303,0.79749114035309,"Superpos","Th1/2"
"Ddx60",0.0616744687021488,0.851056990954822,"Th2like","Th1/2"
"Dgcr6.1",0.352521698940434,0.781140612036913,"Th2like","Th1/2"
"Dhdh.1",-0.133927193376578,1.03745869778398,"Th2like","Th1/2"
"Dhx58",0.297335972413755,0.776457462924261,"Superpos","Th1/2"
"Dhx58.1",0.366818340844004,0.556826195538221,"Superpos","Th1/2"
"Dlk1.1",0.877282018167143,0.570645011629864,"Superpos","Th1/2"
"Dmwd",0.308092256002074,0.766503693694255,"Superpos","Th1/2"
