"ftest","pvalue","gene","model"
"Th2vsMixed",0.020646560457032,"Cyp2s1","Th1/2"
"Th1vsMixed",8.4933300583488e-05,"D14Ertd668e.1","Th1/2"
"Th2vsMixed",0.981680383745676,"D14Ertd668e.1","Th1/2"
"Th1vsMixed",4.95066002377303e-07,"D330045A20Rik","Th1/2"
"Th2vsMixed",0.53705926984836,"D330045A20Rik","Th1/2"
"Th1vsMixed",1.35691435961153e-07,"D330045A20Rik.1","Th1/2"
"Th2vsMixed",0.275167843929638,"D330045A20Rik.1","Th1/2"
"Th1vsMixed",0.000418040319783374,"D330045A20Rik.2","Th1/2"
"Th2vsMixed",0.300875420245982,"D330045A20Rik.2","Th1/2"
"Th1vsMixed",2.9946458605154e-05,"Dbndd2.2","Th1/2"
"Th2vsMixed",0.894829462234598,"Dbndd2.2","Th1/2"
"Th1vsMixed",0.0713262500569698,"Ddx26b","Th1/2"
"Th2vsMixed",0.00337032782627014,"Ddx26b","Th1/2"
"Th1vsMixed",6.74501487310636e-07,"Ddx58","Th1/2"
"Th2vsMixed",9.41650044287347e-05,"Ddx58","Th1/2"
"Th1vsMixed",0.000315206714602555,"Ddx60","Th1/2"
"Th2vsMixed",0.427904434660793,"Ddx60","Th1/2"
"Th1vsMixed",0.000285526646397701,"Dhx58","Th1/2"
"Th2vsMixed",0.00077522960318959,"Dhx58","Th1/2"
"Th1vsMixed",0.0019369304221395,"Dhx58.1","Th1/2"
"Th2vsMixed",0.000407880101942335,"Dhx58.1","Th1/2"
"Th1vsMixed",0.000252205254716823,"Dnalc1.1","Th1/2"
"Th2vsMixed",0.521575306358615,"Dnalc1.1","Th1/2"
"Th1vsMixed",0.00876784025447107,"Dtx3l","Th1/2"
"Th2vsMixed",0.015354092368339,"Dtx3l","Th1/2"
"Th1vsMixed",0.0283783063645342,"Dusp14","Th1/2"
"Th2vsMixed",0.535576593811975,"Dusp14","Th1/2"
"Th1vsMixed",4.90263595665615e-06,"Edn1","Th1/2"
"Th2vsMixed",0.89813716243764,"Edn1","Th1/2"
"Th1vsMixed",0.000489639437150323,"Efna5","Th1/2"
"Th2vsMixed",0.625709273418724,"Efna5","Th1/2"
"Th1vsMixed",0.442892046010002,"EG240327","Th1/2"
"Th2vsMixed",0.00160047605236507,"EG240327","Th1/2"
"Th1vsMixed",0.75769777623031,"EG630499.1","Th1/2"
"Th2vsMixed",0.0476146744007223,"EG630499.1","Th1/2"
"Th1vsMixed",2.98269637571826e-05,"Emr1","Th1/2"
"Th2vsMixed",0.503838203013084,"Emr1","Th1/2"
"Th1vsMixed",0.00294571524333186,"Endod1","Th1/2"
"Th2vsMixed",0.183426553274038,"Endod1","Th1/2"
"Th1vsMixed",0.000338404842209252,"Enpp4","Th1/2"
"Th2vsMixed",0.184220653604379,"Enpp4","Th1/2"
"Th1vsMixed",9.15680890940856e-06,"Eomes","Th1/2"
"Th2vsMixed",0.0455247399144021,"Eomes","Th1/2"
"Th1vsMixed",0.125315044338244,"Epm2aip1.3","Th1/2"
"Th2vsMixed",0.0288880431464239,"Epm2aip1.3","Th1/2"
"Th1vsMixed",0.000349197725307723,"Etv6","Th1/2"
"Th2vsMixed",0.0198015754490128,"Etv6","Th1/2"
"Th1vsMixed",0.00274475599949212,"Fcrls","Th1/2"
"Th2vsMixed",0.837912512805061,"Fcrls","Th1/2"
"Th1vsMixed",0.0484123416019824,"Fes","Th1/2"
"Th2vsMixed",0.000100374304331887,"Fes","Th1/2"
"Th1vsMixed",0.829234005883899,"Ffar2","Th1/2"
"Th2vsMixed",4.51132127581039e-05,"Ffar2","Th1/2"
