"ftest","pvalue","gene","model"
"Th1vsMixed",0.0119759964788521,"2410066E13Rik","Th1/2"
"Th2vsMixed",0.0354613927768553,"2410066E13Rik","Th1/2"
"Th1vsMixed",0.036082862001986,"2410127L17Rik","Th1/2"
"Th2vsMixed",0.346129901621273,"2410127L17Rik","Th1/2"
"Th1vsMixed",0.00220628602921984,"2410131K14Rik","Th1/2"
"Th2vsMixed",0.0374940321927775,"2410131K14Rik","Th1/2"
"Th1vsMixed",0.00387056268868903,"2510009E07Rik","Th1/2"
"Th2vsMixed",0.27135538263282,"2510009E07Rik","Th1/2"
"Th1vsMixed",0.000151920368114316,"2510009E07Rik.2","Th1/2"
"Th2vsMixed",0.000440540998556535,"2510009E07Rik.2","Th1/2"
"Th1vsMixed",0.0159426170088883,"2610002J02Rik","Th1/2"
"Th2vsMixed",0.803745128801136,"2610002J02Rik","Th1/2"
"Th1vsMixed",0.0538500723131284,"2610020H08Rik","Th1/2"
"Th2vsMixed",0.284319530745909,"2610020H08Rik","Th1/2"
"Th1vsMixed",0.986271104965814,"2610021K21Rik.1","Th1/2"
"Th2vsMixed",0.042703435878852,"2610021K21Rik.1","Th1/2"
"Th1vsMixed",0.00225578940796404,"2610027C15Rik.1","Th1/2"
"Th2vsMixed",0.0129140875028909,"2610027C15Rik.1","Th1/2"
"Th1vsMixed",0.470279003480547,"2610028A01Rik","Th1/2"
"Th2vsMixed",0.00610689391293142,"2610028A01Rik","Th1/2"
"Th1vsMixed",0.80146716032745,"2610029G23Rik.1","Th1/2"
"Th2vsMixed",0.0125792048331828,"2610029G23Rik.1","Th1/2"
"Th1vsMixed",0.414604722522489,"2610205E22Rik","Th1/2"
"Th2vsMixed",0.0250981545432446,"2610205E22Rik","Th1/2"
"Th1vsMixed",0.000185356353659277,"2610207I05Rik.1","Th1/2"
"Th2vsMixed",0.0271579685853822,"2610207I05Rik.1","Th1/2"
"Th1vsMixed",0.00114893058907401,"2610510J17Rik","Th1/2"
"Th2vsMixed",0.341977860478191,"2610510J17Rik","Th1/2"
"Th1vsMixed",0.109834562174738,"2610528E23Rik","Th1/2"
"Th2vsMixed",0.00627399381362972,"2610528E23Rik","Th1/2"
"Th1vsMixed",0.0213667248256261,"2700038C09Rik","Th1/2"
"Th2vsMixed",0.175131798809043,"2700038C09Rik","Th1/2"
"Th1vsMixed",0.000112461432497458,"2700038C09Rik.1","Th1/2"
"Th2vsMixed",0.0408110703865559,"2700038C09Rik.1","Th1/2"
"Th1vsMixed",0.0637098320741337,"2700094K13Rik","Th1/2"
"Th2vsMixed",0.70228686758065,"2700094K13Rik","Th1/2"
"Th1vsMixed",0.193231094970053,"2700094K13Rik.1","Th1/2"
"Th2vsMixed",0.023431404192282,"2700094K13Rik.1","Th1/2"
"Th1vsMixed",0.00102609590479095,"2700097O09Rik","Th1/2"
"Th2vsMixed",0.881957849111064,"2700097O09Rik","Th1/2"
"Th1vsMixed",0.00151572713900165,"2810004N23Rik","Th1/2"
"Th2vsMixed",0.110748172598072,"2810004N23Rik","Th1/2"
"Th1vsMixed",0.653835661373618,"2810021J22Rik.2","Th1/2"
"Th2vsMixed",0.0997628539259476,"2810021J22Rik.2","Th1/2"
"Th1vsMixed",0.0352610027870792,"2810417H13Rik","Th1/2"
"Th2vsMixed",0.0527110192734451,"2810417H13Rik","Th1/2"
"Th1vsMixed",0.0317449786301833,"2810441K11Rik","Th1/2"
"Th2vsMixed",0.64151835051594,"2810441K11Rik","Th1/2"
"Th1vsMixed",0.0989573851096651,"2810452K22Rik","Th1/2"
