Unnamed: 0,gene,beta_th1,beta_th2,p_th1,p_th2,padj_th1,padj_th2,th1_sig,th2_sig,category,model,angle,clust_new
310,Ddx60,0.6935150981839023,-0.0925733426629035,3.71222118245074e-07,0.112047083316358,3.1677620756913e-05,0.298792222176955,sig,ns,Th1like,Th0,-0.13269980981575663,Th1like
311,Dusp14,0.5908544395859082,0.0918642196408899,0.0043945632441894,0.571714751489107,0.0068182314576515,0.742596253738561,sig,ns,Th1like,Th0,0.1542419827524228,Th1like
312,Edn1,0.1873845563939852,-0.0233182127662888,0.636406544744245,0.501494363976338,0.662276729489946,0.705926234089858,ns,ns,Ind,Th0,-0.12380398487846653,Th1like
313,Efna5,0.6391944452748698,0.0252922971029756,0.0037071955759418,0.477687746861702,0.0059688180342207,0.696207834007261,sig,ns,Th1like,Th0,0.039548387138602,Th1like
314,EG240327,0.5369964269998035,0.5334182158150653,1.38320280325923e-05,0.0492856963015124,0.0001041470345983,0.182857076133147,sig,ns,Th1like,Th0,0.7820553486474695,Superpos
315,Emr1,0.4410502518656212,0.0157927023611514,0.000100347110298,0.122702863276265,0.0003300198732122,0.317292252512362,sig,ns,Th1like,Th0,0.035791744765022046,Th1like
316,Endod1,0.5788527385476383,-0.2756560032898054,0.0013881608115477,0.0251912380992493,0.0025025997729312,0.113139595673821,sig,ns,Th1like,Th0,-0.4444358861224419,Superpos
317,Enpp4,0.2228687266248211,0.0495557872032748,0.0634482112447385,0.289736107496348,0.0745079911864819,0.541404697219453,ns,ns,Ind,Th0,0.2187946657620622,Th1like
318,Eomes,0.362980510245645,0.1751764355267684,5.84076116094899e-05,0.0182498432718783,0.0002352804185926,0.0973324974500176,sig,ns,Th1like,Th0,0.4496355260865711,Superpos
319,Etv6,0.1941771433224002,0.1379451516918748,0.0037858533097625,0.0588213062399977,0.0060573652956201,0.20627745749917,sig,ns,Th1like,Th0,0.6176776308309544,Superpos
320,Fcrls,0.2201231769237826,-0.0075902903305578,0.0843846100819531,0.484082009583174,0.0968720187487892,0.696207834007261,ns,ns,Ind,Th0,-0.034468356637638774,Th1like
321,Fes,0.078432032386647,0.0842667056470235,0.0542619350242163,0.187851985744375,0.0643104415101823,0.418174855222261,ns,ns,Ind,Th0,0.8212446241167428,Superpos
322,Ffar2,-0.0005071436129156,0.1865454657970412,0.987114318598176,0.187390692695991,0.987114318598176,0.418174855222261,ns,ns,Ind,Th0,1.5735149260454986,Th2like
323,Fgl2,0.2763349213151735,-0.1524667100761199,0.0005779837962728,0.578430769741564,0.0012228417507922,0.744111944994173,sig,ns,Th1like,Th0,-0.5041827842224091,Superpos
324,Fos,0.3546267675183741,0.1059036384853915,5.88201046481516e-05,0.0271980643890435,0.0002352804185926,0.114526062788945,sig,ns,Th1like,Th0,0.29020318629911546,Th1like
325,Foxq1,0.1977795116885418,0.0412346203800859,0.191899939832577,0.164560908844218,0.213592976509303,0.396213480763465,ns,ns,Ind,Th0,0.20554345061449603,Th1like
326,Fscn1,0.1177095582001151,0.2678972089103691,0.0117875791618467,0.0034328334683912,0.0158822119233303,0.0371766170163613,sig,sig,Superpos,Th0,1.1568062466306828,Superpos
327,Furin,-0.0173844388801939,0.2328096131098226,0.685163241804644,0.0006476654635574,0.707265281862858,0.0124680212416254,ns,sig,Th2like,Th0,1.645330340592071,Th2like
328,Furin.2,0.0166075951346227,0.2581006240956686,0.676988067962387,0.0001504656835398,0.701655649386118,0.0045414786286202,ns,sig,Th2like,Th0,1.5065394826562641,Th2like
329,Gata3,0.3041080901999612,0.0468455073386902,0.0151913349970327,0.478024513504206,0.0195426219057305,0.696207834007261,sig,ns,Th1like,Th0,0.15284092626140916,Th1like
330,Gbp1,0.4132530478471183,-0.1038241791753971,0.0257141739260296,0.438806302309279,0.0317151093752283,0.660790667006914,sig,ns,Th1like,Th0,-0.24614192907859966,Th1like
331,Gbp3.1,0.3535938421517725,-0.0417180013117992,0.0060273414244852,0.338914195814361,0.008867812670507,0.580140315920686,sig,ns,Th1like,Th0,-0.11743991653359039,Th1like
332,Gbp5,0.4272678942379277,-0.1336929535332578,0.001229077383644,0.371835810541902,0.0022966701475392,0.614128822572432,sig,ns,Th1like,Th0,-0.3032510077967943,Th1like
333,Gbp5.1,0.4124108525736849,-0.3279782443439917,0.0002425868980839,0.0323808595160248,0.0005750207954581,0.131579365652418,sig,ns,Th1like,Th0,-0.6718505284399658,Superpos
334,Gbp6,0.5581488313189216,-0.0910346803171172,0.0074596823735004,0.339925966359777,0.0105986599894912,0.580140315920686,sig,ns,Th1like,Th0,-0.16167747028218693,Th1like
335,Gbp6.1,0.507099350548802,-0.1302274475273482,0.0038957526801812,0.103684424205028,0.0061562511489283,0.291683654906452,sig,ns,Th1like,Th0,-0.2513763709723737,Th1like
336,Gnaq.2,0.2416875482242249,0.1742364275956041,0.0074935838206949,0.0891302818177935,0.0105986599894912,0.271635144587561,sig,ns,Th1like,Th0,0.6246260768597321,Superpos
337,Gnpda1,0.3410005305880713,0.0191582583550232,0.0297931874836955,0.67963411834336,0.0363193142658383,0.820239120775103,sig,ns,Th1like,Th0,0.05612348728627943,Th1like
338,Gnpda1.1,0.3886118301590109,0.0147398923992312,1.86978354660836e-05,0.387710036742827,0.0001293688075491,0.61623403466932,sig,ns,Th1like,Th0,0.03791142938079475,Th1like
