,gene,Th1,Th2,category,model,angle,clust_new
1339,Lrrfip1.2,1.05919293978012,-0.0255639231985921,Th1like,Th0,-0.024130600015419796,Th1like
1340,Lrrk1.1,0.260894743772286,0.0027555453211505,Th1like,Th0,0.010561511605391182,Th1like
1341,Lss,0.595385300201694,0.373019079442234,Th1like,Th0,0.559689529258429,Superpos
1342,Ltb4r1,0.285504259954801,0.0557271414174169,Th1like,Th0,0.1927648428495874,Th1like
1343,Ltbp1.4,-0.457637528396601,0.66941289185013,Th2like,Th0,2.1704579338896752,Superpos
1344,Ltbp3.1,0.117497979694394,0.301688756380405,Ind,Th0,1.1994024955015625,Th2like
1345,Luzp1,1.25322730747873,-0.455635780770959,Th1like,Th0,-0.3487123388683066,Th1like
1346,Luzp1.1,1.39202089269034,-0.690371828441452,Th1like,Th0,-0.46040182497548937,Superpos
1347,Ly6a,0.887803774803261,-0.891308745405695,Th1like,Th0,-0.7873682277009576,Superpos
1348,Ly6c1,0.905772772643338,0.589949567857968,Th1like,Th0,0.5773038803467616,Superpos
1349,Ly9,0.855473256116715,0.150154302401507,Th1like,Th0,0.17375202586462093,Th1like
1350,Lyrm5,0.743160761282625,-0.0829991849970137,Th1like,Th0,-0.11122311260399582,Th1like
1351,Maged2,0.669371176177083,0.217610698939982,Th1like,Th0,0.314319815787924,Th1like
1352,Map2k6.1,0.463221064517788,0.388173115121304,Th1like,Th0,0.6974782782717882,Superpos
1353,Mapre2,0.626232791328454,0.205389172066582,Th1like,Th0,0.316921008300191,Th1like
1354,Marcks,0.886942866502468,-0.0276606806723925,Th1like,Th0,-0.031176436893548817,Th1like
1355,Matk.1,0.658921433453693,0.345013291171757,Superpos,Th0,0.4823512843060558,Superpos
1356,Matk.2,0.703133913378786,0.395831506837413,Superpos,Th0,0.512733686157505,Superpos
1357,Mbnl1.1,0.916446593113809,0.0682318301209173,Th1like,Th0,0.07431548581756148,Th1like
1358,Mboat2.3,0.50373811067788,0.445558665432622,Ind,Th0,0.724187835751649,Superpos
1359,Mcf2l.1,0.0868179748414982,0.433890492139945,Ind,Th0,1.3733123989622216,Th2like
1360,Mcf2l.2,0.473144628847795,0.227617878957052,Ind,Th0,0.4483930107407971,Superpos
1361,Mcl1,0.846275647455283,0.0984120449522024,Th1like,Th0,0.11576842808003684,Th1like
1362,Mef2c.2,1.07613265923914,-0.0586922364764538,Th1like,Th0,-0.05448598196431777,Th1like
1363,Mettl4,0.767282807786149,0.0966116673269093,Th1like,Th0,0.12525485702964534,Th1like
1364,Mgll,0.579635400870817,-0.125515635686961,Th1like,Th0,-0.21324993601115183,Th1like
1365,Mgll.1,0.397428239905227,-0.0721052985023922,Ind,Th0,-0.17947745333033704,Th1like
1366,Mgll.2,0.871442774680444,-0.21040167332643,Th1like,Th0,-0.23690668294535422,Th1like
1367,Mitd1,1.26863947903123,-0.186833228616132,Th1like,Th0,-0.1462194919092878,Th1like
1368,Mlf1,1.25039334531233,-0.429634693511996,Th1like,Th0,-0.330961593054047,Th1like
1369,Mlkl,0.833513036389274,0.269702296798836,Th1like,Th0,0.31294066710073143,Th1like
1370,Mllt11.1,0.739919943659585,-0.15296740922816,Th1like,Th0,-0.20386313179146118,Th1like
1371,Mllt3.1,0.755470692889062,0.248495951932591,Th1like,Th0,0.31778111116519453,Th1like
1372,Mllt4,0.766093961482616,0.139634624425144,Ind,Th0,0.1802891549204426,Th1like
1373,Mllt4.2,0.157299808716515,0.59425291989084,Ind,Th0,1.3120292637635178,Th2like
1374,Mocos,-0.299392679048505,0.730548357630538,Ind,Th0,1.9597386912397368,Th2like
1375,Morc3,0.944736291672914,-0.162266414186953,Th1like,Th0,-0.1700986896091446,Th1like
1376,Mov10,1.326690235992,-1.15529521008642,Th1like,Th0,-0.7164520055940439,Superpos
1377,Mov10.1,1.02445458917371,0.133363808091561,Th1like,Th0,0.129452305772067,Th1like
1378,Mpp1,1.14848351767634,0.108010182813569,Th1like,Th0,0.09377010952313829,Th1like
1379,Mrpl16,0.582663965179596,0.344082024127736,Ind,Th0,0.5334290389947312,Superpos
1380,Ms4a6b,0.8292067757726,-0.0427024243122716,Th1like,Th0,-0.05145246766024607,Th1like
1381,Ms4a6d.1,0.444860188873188,0.384520678193606,Th1like,Th0,0.7127736401803962,Superpos
1382,Msh5,0.738324633302308,0.254485808622122,Th1like,Th0,0.3319276489150259,Th1like
1383,Msh5.1,0.729591625246365,0.378792702584931,Th1like,Th0,0.47887719649763455,Superpos
1384,Msr2,0.347797028520961,0.0889007719921433,Ind,Th0,0.2502526619694783,Th1like
1385,Mtap,0.60349699020229,0.148742855297012,Ind,Th0,0.24165192373259792,Th1like
1386,Mtap.1,0.759416522933462,0.0632530189491295,Ind,Th0,0.08309978843495466,Th1like
1387,Mtap6.2,0.970710010474687,-0.988117418445635,Th1like,Th0,-0.7942845765138763,Superpos
1388,Mtap6.3,1.17936493784577,-1.25239249869171,Th1like,Th0,-0.815419915723744,Superpos
1389,Mtap7,0.649956371599833,0.487161683622969,Ind,Th0,0.6432001270634969,Superpos
1390,Muc13,1.4729620577867,0.176024792420135,Th1like,Th0,0.11893989464465804,Th1like
1391,Mx1,0.967093053370616,0.10958869271675,Th1like,Th0,0.11283630003666333,Th1like
1392,Mxra8,1.34462641864504,-0.63798549469433,Th1like,Th0,-0.4430161780861855,Superpos
1393,Myl4,0.492941532412937,0.6568459455834,Superpos,Th0,0.926996087331327,Superpos
1394,Myo1f,0.981758699836927,-0.478471340528427,Th1like,Th0,-0.4534857420892106,Superpos
1395,Myo6.1,0.786092655036231,0.110145596024095,Th1like,Th0,0.13921150331845272,Th1like
1396,Myst4.1,0.913484845437397,0.0544994347220251,Th1like,Th0,0.05959038106368348,Th1like
1397,Nagk.3,1.09593531725573,-0.182034972442845,Th1like,Th0,-0.1645973786726824,Th1like
1398,Nampt.1,0.712852936837083,0.331220545047223,Ind,Th0,0.43496227628224576,Superpos
1399,Nat5,0.707682081469587,0.43821638850758,Th1like,Th0,0.5544377171243168,Superpos
1400,Nat5.1,0.888893887395377,0.0868710742602448,Th1like,Th0,0.0974200408458257,Th1like
1401,Nat5.2,1.03904968986908,-0.0310630952600651,Th1like,Th0,-0.029886776630710123,Th1like
1402,Nav1,-0.910948463595678,2.18926876822841,Superpos,Th0,1.9651020675101676,Superpos
1403,Nav1.1,-0.731415803767354,2.04936796093489,Superpos,Th0,1.9136032985678884,Th2like
1404,Ncf1,0.460630918137041,0.507688601693842,Superpos,Th0,0.8339572285702127,Superpos
1405,Nedd1,0.848577883410578,0.127756952662714,Th1like,Th0,0.14943189488875366,Th1like
1406,Nelf.1,0.774973189318092,0.231715993901914,Th1like,Th0,0.29053793868994715,Th1like
1407,Nhedc2,0.944504897845935,0.148483499772294,Th1like,Th0,0.15593154003357015,Th1like
1408,Nhedc2.1,0.791857800253297,0.341445852623232,Th1like,Th0,0.4071069204223037,Superpos
1409,Niban,0.922501014831913,0.0887165525374285,Th1like,Th0,0.09587475547691894,Th1like
1410,Nin,1.03417577367067,-0.122286848814977,Th1like,Th0,-0.11769918212943689,Th1like
1411,Nkg7,0.531857979781137,0.597578793870457,Superpos,Th0,0.8435216368861537,Superpos
1412,Nod1,0.624010820101694,0.184600863793347,Th1like,Th0,0.2876263504390443,Th1like
1413,Nol3.1,0.640414071323504,0.416010918973573,Th1like,Th0,0.5760917100748801,Superpos
1414,Nos3.3,0.133655776105097,0.492742935750014,Ind,Th0,1.3059212013306745,Th2like
1415,Npc1,1.24235527003356,-0.275409646463482,Th1like,Th0,-0.21815550291621727,Th1like
1416,Nqo2,1.0214709726972,0.117736025149986,Th1like,Th0,0.11475486304456155,Th1like
1417,Nrbp2,0.859131543373031,-0.0446816668264326,Th1like,Th0,-0.05196113102721067,Th1like
