"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"138","Snx10",0.105933129252911,0.831121820321323,0.214415903640614,0.000704298704112213,0.343065445824982,0.00181754504287023,"ns","sig","Th2like","Th1/2"
"139","St3gal1",0.37814663919993,0.769091007193515,0.323585475276567,6.6055853268638e-06,0.475044091853139,7.04595768198805e-05,"ns","sig","Th2like","Th1/2"
"140","St3gal1.1",-0.309138253800947,0.852684489625655,0.391246696973586,1.59059758449124e-05,0.544343230571946,0.000106039838966083,"ns","sig","Th2like","Th1/2"
"141","Tap1",0.274403841464317,0.529272203885951,0.436715670345945,0.0805950232712981,0.575263775873927,0.105698391175473,"ns","ns","Ind","Th1/2"
"142","Tarbp2.1",0.0628993574913236,0.712980919250995,0.747558208904418,0.00138505430356301,0.81366879880753,0.00295478251426775,"ns","sig","Th2like","Th1/2"
"143","Tdrd7",0.293968894242547,0.596667386169405,0.000303963211268337,0.00473619420736809,0.00303963211268337,0.00861126219521471,"sig","sig","Superpos","Th1/2"
"144","Tiam1",-0.293285327708897,0.896491566041921,0.278314402551272,1.34225012156244e-05,0.424098137220986,9.39834441459784e-05,"ns","sig","Th2like","Th1/2"
"145","Timd2",-0.88239867872362,0.557899176464354,0.055067328626349,6.1984655119079e-06,0.144438894757637,7.04595768198805e-05,"ns","sig","Th2like","Th1/2"
"146","Tlr7",-0.104341418170126,0.788652555911254,0.367472076175498,0.00108367003283717,0.520314444142298,0.00240815562852704,"ns","sig","Th2like","Th1/2"
"147","Trim25",0.380290450858307,-0.23041145431373,0.00156794360399261,0.568766149959932,0.00948430253253375,0.602666119162842,"sig","ns","Th1like","Th1/2"
"148","Trim34",0.161101197616925,0.813339440849779,0.0912505211738548,0.000312331287642427,0.197298424159686,0.00098888381051782,"ns","sig","Th2like","Th1/2"
"149","Trim34.1",0.135548126025875,0.786318295880759,0.165843589925572,0.00118118910786346,0.292317964090091,0.00258890763367334,"ns","sig","Th2like","Th1/2"
"150","Tspan6",0.584837846532295,0.44405709452925,0.0569383292937321,0.0125736147317007,0.145672107012629,0.0201926048915016,"ns","sig","Th2like","Th1/2"
"151","Tspan6.1",0.361865709048929,0.562553947939511,0.00214649836259296,2.74372104609946e-05,0.0114479912671625,0.00014859321828284,"sig","sig","Superpos","Th1/2"
"152","Ttc27",0.740749134717711,0.419426986977512,0.0852321722072079,0.244067593409431,0.186810240454154,0.289265295892659,"ns","ns","Ind","Th1/2"
"153","Ube2f.1",0.744375665654065,0.298230117189107,0.00019937160576015,0.046914577847148,0.0021266304614416,0.065390132343031,"sig","ns","Th1like","Th1/2"
"154","Ube2f.2",0.555544845926091,-0.036691887250513,0.0677680206647919,0.932835138211591,0.161834079199503,0.932835138211591,"ns","ns","Ind","Th1/2"
"155","Ube2l6",0.163841931543594,0.633409451988826,0.546795369129675,0.5010499449332,0.657798940306376,0.534453274595413,"ns","ns","Ind","Th1/2"
"156","Ube2q2.2",0.465732930059741,0.710277520901267,0.1703638375126,0.0126203780571885,0.296284934804522,0.0201926048915016,"ns","sig","Th2like","Th1/2"
"157","Usp18",0.23230285247786,0.545778314334768,0.0151767084514965,0.0435589463718328,0.0485654670447888,0.0627021557427613,"sig","ns","Th1like","Th1/2"
"158","Usp18.1",0.286685630003596,0.924481290319591,0.0276802650223466,0.0527212796423199,0.0805244073377356,0.0714864808709422,"ns","ns","Ind","Th1/2"
"159","Zbp1.1",-0.0796374824029869,0.324352480860012,0.553944785649625,0.460079680512072,0.661426609730896,0.494045294509607,"ns","ns","Ind","Th1/2"
"160","Znfx1",0.14002986135301,0.782748910641134,0.437723441043545,0.000122988142660482,0.575263775873927,0.00049220032633134,"ns","sig","Th2like","Th1/2"
"161","2010001M09Rik",1.01980134082703,-0.332056624951086,0.0172199156969711,0.209778998018161,0.0215248946212139,0.472741403984588,"sig","ns","Th1like","Th0"
"162","2310004I24Rik",0.472223842177747,0.0379130649225767,0.00386570473544625,0.897076057866827,0.00566654935299084,0.956881128391282,"sig","ns","Th1like","Th0"
"163","4930539E08Rik",0.451389770368279,0.333939910381833,2.50223935431791e-05,0.0993014737059626,0.00014192543946549,0.302769881196873,"sig","ns","Th1like","Th0"
"164","5730469M10Rik",0.798763029916133,0.0956242666751614,0.00064584392458337,0.091425243936483,0.00121570621098046,0.298531408772189,"sig","ns","Th1like","Th0"
"165","9930111J21Rik",1.35702516645938,-0.25871386139942,0.000100319173221906,0.314970633724213,0.000297324771253582,0.593600081530807,"sig","ns","Th1like","Th0"
"166","Adar",0.748612845277717,1.29483806882008,0.000349665313214009,0.00791163509422884,0.000736137501503177,0.0530906033330333,"sig","ns","Th1like","Th0"
"167","AI451557",1.68796674720443,-0.157892582900809,7.80536819375026e-05,0.128279848930422,0.000260178939791675,0.336471734899467,"sig","ns","Th1like","Th0"
"168","AI451617",0.855963231778521,1.80589699045895,7.92166487632143e-08,0.00515057789490761,1.26746638021143e-05,0.045782914621401,"sig","sig","Superpos","Th0"
"169","Akr1c18",0.894315041333202,0.358621432549694,0.000121030081036722,0.000926770929118307,0.000328217168913144,0.0164759276287699,"sig","sig","Superpos","Th0"
"170","Amica1",1.07047564827616,0.465468738685591,5.43015503544648e-06,0.342888352240705,4.3485825808937e-05,0.602880619324316,"sig","ns","Th1like","Th0"
"171","Aqp9",0.34748766928069,0.0327688218721411,4.52756465015657e-05,0.645302088802718,0.000181102586006263,0.816006848161735,"sig","ns","Th1like","Th0"
"172","Atp10a",1.2392191817141,0.187914057432501,9.36400384984973e-05,0.504626956400172,0.000288123195379992,0.734002845672977,"sig","ns","Th1like","Th0"
"173","BC006779",1.07462728783327,0.042011411391784,3.62004675379021e-05,0.730652419367748,0.000150802949855712,0.84103875610676,"sig","ns","Th1like","Th0"
"174","BC094916",1.05618292909635,-0.137591739642967,0.000796332961295358,0.629979451541078,0.00143104101244787,0.812876711665907,"sig","ns","Th1like","Th0"
"175","BC094916.1",0.942367699114196,-0.0409615318310359,8.53704492715426e-05,0.713696926618778,0.000273185437668936,0.83351465882485,"sig","ns","Th1like","Th0"
"176","Bst2",0.829193828096092,-0.488906373163054,0.00238821140840712,0.295494358930502,0.00378330520143702,0.583692560850374,"sig","ns","Th1like","Th0"
"177","Casp1",0.844614149437212,-0.0687258962882072,0.00010308879804511,0.749125585422982,0.000299894685222138,0.851389441937672,"sig","ns","Th1like","Th0"
"178","Ccr5",0.0480531119388401,0.155701590275633,0.0864067874071447,0.315350043313241,0.0994610502528284,0.593600081530807,"ns","ns","Ind","Th0"
"179","Ccr5.1",0.0709321415137004,-0.132718847672425,0.0723252727350576,0.599639988461737,0.0844674718073665,0.792912381437008,"ns","ns","Ind","Th0"
"180","Ccr5.2",0.186593853338792,0.621291022953328,0.00144825046287803,0.00349226183325771,0.00241375077146338,0.0387256427253763,"sig","sig","Superpos","Th0"
"181","Cd80",1.07144743133842,0.0834125621856215,3.19384535243887e-05,0.727120858837133,0.000150802949855712,0.84103875610676,"sig","ns","Th1like","Th0"
"182","Cd86",1.53067911316908,-0.285246082129158,0.000254611519113176,0.0676461898400387,0.000550511392677137,0.251706752893167,"sig","ns","Th1like","Th0"
"183","Cd86.2",1.71464847534681,-0.321103672649402,4.82206477560448e-05,0.0205336813893004,0.000188178137584565,0.109512967409602,"sig","ns","Th1like","Th0"
"184","Cdc42se1.1",0.861614698347776,0.0934644051195073,0.00741956158314027,0.614514235203794,0.0102012750406843,0.799368110834204,"sig","ns","Th1like","Th0"
"185","Ch25h",0.207799278007223,0.72577036693071,0.00981478350469034,0.0707365990529683,0.0130863780062538,0.257223996556248,"sig","ns","Th1like","Th0"
"186","Clec2e",0.84447562634584,0.00756838453083384,0.000454698956249494,0.93869421565079,0.00093271580769127,0.972103732102369,"sig","ns","Th1like","Th0"
"187","Clpx",0.673825993382203,-0.0494346990611753,0.0178514001209569,0.686708249306069,0.0221412714678535,0.826115187135121,"sig","ns","Th1like","Th0"
"188","Csprs",1.15163405655396,0.068495419938734,2.77650193392218e-06,0.679158290845315,3.41723314944268e-05,0.826115187135121,"sig","ns","Th1like","Th0"
"189","Ctsw",0.32657192931236,0.730742022134978,0.000147195208682325,5.63932828923683e-07,0.000370033093408472,9.02292526277893e-05,"sig","sig","Superpos","Th0"
"190","Cxcr3",0.413957064111167,0.7997904963739,0.0077039638471942,0.00123330554386683,0.0104460526741616,0.0197328887018693,"sig","sig","Superpos","Th0"
"191","D330045A20Rik",0.11208164839122,0.00498974427665525,0.744973786268255,0.818608371596333,0.764075678223851,0.921831908163343,"ns","ns","Ind","Th0"
"192","D330045A20Rik.1",0.197819573112644,0.0716372266666918,0.513920752142692,0.101386592692019,0.544551790349872,0.302769881196873,"ns","ns","Ind","Th0"
"193","D330045A20Rik.2",0.0318992791363608,0.00495278967027802,0.94349588751006,0.917484733342231,0.949429823909494,0.967644887929623,"ns","ns","Ind","Th0"
"194","Ddx60",1.31628723116946,-0.232267953425393,3.71222118245074e-07,0.112047083316358,1.97985129730706e-05,0.309095402252022,"sig","ns","Th1like","Th0"
"195","Efna5",1.21318697855753,0.0634587659530334,0.00370719557594182,0.477687746861702,0.00549214159398788,0.721546435478047,"sig","ns","Th1like","Th0"
"196","EG240327",1.01921579197693,1.33835458181892,1.38320280325923e-05,0.0492856963015124,9.62228037049899e-05,0.19714278520605,"sig","ns","Th1like","Th0"
"197","Emr1",0.837110563785945,0.0396241353176387,0.000100347110298084,0.122702863276265,0.000297324771253582,0.327207635403373,"sig","ns","Th1like","Th0"
"198","Endod1",1.09865880421782,-0.691625190274169,0.00138816081154779,0.0251912380992493,0.00236282691327283,0.117652158136045,"sig","ns","Th1like","Th0"
"199","Eomes",0.688934692338913,0.439520395372549,5.84076116094899e-05,0.0182498432718783,0.0002123913149436,0.100688790465535,"sig","ns","Th1like","Th0"
"200","Fcrls",0.417792385238595,-0.019044156236239,0.0843846100819531,0.484082009583174,0.0978372290805253,0.723860948909419,"ns","ns","Ind","Th0"
