gene,module
Pml,TF
Polr1b,TF
Polr2a,TF
Polr2b,TF
Polr2j,TF
Polr2k,TF
Pou1f1,TF
Pou2af1,TF
Pou2f1,TF
Pou2f2,TF
Pou2f3,TF
Pou3f1,TF
Pou3f2,TF
Pou3f3,TF
Pou3f4,TF
Pou4f1,TF
Pou4f2,TF
Pou4f3,TF
Pou5f1,TF
Pou6f1,TF
Pou6f2,TF
Ppara,TF
Ppard,TF
Pparg,TF
Ppargc1b,TF
Pqbp1,TF
Prdm1,TF
Preb,TF
Prop1,TF
Prox1,TF
Prox2,TF
Prrx1,TF
Prrx2,TF
Prrxl1,TF
Psmc5,TF
Ptch1,TF
Ptf1a,TF
Pura,TF
Purb,TF
Rara,TF
Rarb,TF
Rarg,TF
Rax,TF
Rb1,TF
Rbak,TF
Rbbp7,TF
Rbl1,TF
Rbl2,TF
Rbpj,TF
Rbpjl,TF
Rcor2,TF
Rel,TF
Rela,TF
Relb,TF
Rere,TF
Rest,TF
Rfx1,TF
Rfx2,TF
Rfx4,TF
Rfx5,TF
Rfxank,TF
Rfxap,TF
Rhox1,TF
Rhox10,TF
Rhox11,TF
Rhox12,TF
Rhox13,TF
Rhox2a,TF
Rhox2b,TF
Rhox2c,TF
Rhox2d,TF
Rhox2e,TF
Rhox2f,TF
Rhox2g,TF
Rhox2h,TF
Rhox3a,TF
Rhox3e,TF
Rhox3f,TF
Rhox3h,TF
Rhox4a,TF
Rhox4b,TF
Rhox4c,TF
Rhox4d,TF
Rhox4e,TF
Rhox4f,TF
Rhox4g,TF
Rhox5,TF
Rhox6,TF
Rhox7,TF
Rhox8,TF
Rhox9,TF
Ring1,TF
Rnf14,TF
Rnf2,TF
Rnf25,TF
Rnf4,TF
Rora,TF
Rorb,TF
Rorc,TF
Rpl7,TF
Rpl7a,TF
Rreb1,TF
Rrn3,TF
Rsl1,TF
Runx1,TF
Runx1t1,TF
Runx2,TF
Runx3,TF
Rxra,TF
Rxrb,TF
Rxrg,TF
Rybp,TF
Safb,TF
Safb2,TF
Sall1,TF
Sall2,TF
Sall3,TF
Sall4,TF
Satb1,TF
Satb2,TF
Scmh1,TF
Scml2,TF
Scrt1,TF
Scrt2,TF
Scx,TF
Sebox,TF
Sertad1,TF
Sertad2,TF
Setdb1,TF
Setdb2,TF
Sfpi1,TF
Shox2,TF
Sim2,TF
Sin3a,TF
Sin3b,TF
Sirt2,TF
Sirt3,TF
Six1,TF
Six2,TF
Six3,TF
Six4,TF
Six5,TF
Six6,TF
Ski,TF
Skil,TF
Smad3,TF
Smad5,TF
Smad7,TF
Smad9,TF
Smarca1,TF
Smarca2,TF
Smarca4,TF
Smarca5,TF
Smarcal1,TF
Smarcb1,TF
Smarcc1,TF
Smarcd1,TF
Smarcd2,TF
Smarcd3,TF
Smarce1,TF
Smyd1,TF
Smyd3,TF
Snai1,TF
Snai2,TF
Snai3,TF
Snapc4,TF
Snrpc,TF
Snurf,TF
Snw1,TF
Sohlh1,TF
Son,TF
Sox1,TF
Sox10,TF
Sox11,TF
Sox13,TF
Sox14,TF
Sox15,TF
Sox17,TF
Sox18,TF
Sox2,TF
Sox21,TF
Sox3,TF
Sox4,TF
Sox5,TF
Sox6,TF
Sox7,TF
Sox8,TF
Sox9,TF
Sp1,TF
Sp100,TF
Sp110,TF
Sp2,TF
Sp3,TF
Sp4,TF
Sp5,TF
Sp6,TF
Sp7,TF
Sp8,TF
Sp9,TF
Spdef,TF
Spen,TF
Spib,TF
Spic,TF
Spz1,TF
Sra1,TF
Srebf1,TF
Srebf2,TF
Srf,TF
Sry,TF
Ssrp1,TF
Ssxb1,TF
Ssxb2,TF
Stat1,TF
Stat2,TF
Stat3,TF
Stat4,TF
Stat5a,TF
Stat5b,TF
Stat6,TF
Strn,TF
Sub1,TF
Supt16h,TF
Supt4h1,TF
Supt5h,TF
Suv39h1,TF
Suv39h2,TF
Suz12,TF
T,TF
Tada3,TF
Taf1,TF
Taf10,TF
Taf11,TF
Taf12,TF
Taf1c,TF
Taf2,TF
Taf3,TF
Taf4b,TF
Taf6,TF
Taf6l,TF
Taf7,TF
Taf7l,TF
Taf8,TF
Taf9,TF
Tal1,TF
Tal2,TF
Tbl1x,TF
Tbpl1,TF
Tbr1,TF
Tbx1,TF
Tbx15,TF
Tbx18,TF
Tbx19,TF
Tbx2,TF
Tbx20,TF
Tbx21,TF
Tbx22,TF
Tbx3,TF
Tbx4,TF
Tbx5,TF
Tbx6,TF
Tcea2,TF
Tcf12,TF
Tcf15,TF
Tcf20,TF
Tcf21,TF
Tcf23,TF
Tcf3,TF
Tcf4,TF
Tcf7,TF
Tcf7l1,TF
Tcf7l2,TF
Tcfl5,TF
Tdg,TF
Tead1,TF
Tead2,TF
Tead3,TF
Tead4,TF
Tef,TF
Tfam,TF
Tfdp1,TF
Tfdp2,TF
Tgfb1i1,TF
Tgif1,TF
Tgif2,TF
Tgif2lx1,TF
Tgif2lx2,TF
Tgs1,TF
Thra,TF
Thrap3,TF
Thrb,TF
Tle1,TF
Tle2,TF
Tle3,TF
Tle4,TF
Tle6,TF
Tlx1,TF
Tlx2,TF
Tlx3,TF
Tmf1,TF
Tnfaip3,TF
Topors,TF
Tox,TF
Traf4,TF
Trerf1,TF
Trib3,TF
Trim24,TF
Trim28,TF
Trim30a,TF
Trim33,TF
Trip11,TF
Trp53,TF
Trp63,TF
Trp73,TF
Trps1,TF
Trrap,TF
Tsc2,TF
Tsc22d1,TF
Tshz1,TF
Tshz2,TF
Tshz3,TF
Tsn,TF
Ttf1,TF
Twist1,TF
Twist2,TF
Txk,TF
Uaca,TF
Ubp1,TF
Ubtf,TF
Uncx,TF
Usf1,TF
Usf2,TF
Utf1,TF
Vav1,TF
Vax1,TF
Vax2,TF
Vdr,TF
Vezf1,TF
Vgll2,TF
Vhl,TF
Vsx1,TF
Vsx2,TF
Wiz,TF
Wt1,TF
Wwox,TF
Wwtr1,TF
Xbp1,TF
Ybx1,TF
Yy1,TF
Zbed4,TF
Zbtb1,TF
Zbtb10,TF
Zbtb12,TF
Zbtb16,TF
Zbtb17,TF
Zbtb2,TF
Zbtb20,TF
Zbtb22,TF
Zbtb24,TF
Zbtb25,TF
Zbtb26,TF
Zbtb3,TF
Zbtb32,TF
Zbtb33,TF
Zbtb34,TF
Zbtb37,TF
Zbtb38,TF
